timesteps,elapsed_s,cpu_pct,cpu_freq_mhz,ram_gb,ram_pct,gpu_power_w,gpu_mem_gb,gpu_util_pct,gpu_temp_c,cumulative_energy_wh
1000,0.3177971839904785,3.8,4049.991999999999,9.873893737792969,3.9,,,,,0.0
2000,3.4098596572875977,3.6,4049.991999999999,9.850288391113281,3.9,,,,,0.0
3000,3.7276618480682373,3.1,4049.991999999999,9.850288391113281,3.9,,,,,0.0
4000,6.8201775550842285,3.4,4049.991999999999,9.861576080322266,3.9,,,,,0.0
5000,10.334346055984497,3.3,4049.991999999999,9.863750457763672,3.9,,,,,0.0
6000,13.434088706970215,3.3,4049.991999999999,9.857666015625,3.9,,,,,0.0
7000,13.750707387924194,3.1,4049.991999999999,9.857666015625,3.9,,,,,0.0
8000,16.84449005126953,3.4,4049.991999999999,9.857719421386719,3.9,,,,,0.0
9000,19.589853048324585,3.3,4049.991999999999,9.869876861572266,3.9,,,,,0.0
10000,22.67957305908203,3.4,4049.991999999999,9.848396301269531,3.9,,,,,0.0
11000,22.9953510761261,4.0,4049.991999999999,9.852241516113281,3.9,,,,,0.0
12000,26.079896450042725,3.5,4049.991999999999,9.851848602294922,3.9,,,,,0.0
13000,29.61478352546692,3.4,4049.991999999999,9.885498046875,3.9,,,,,0.0
14000,32.68765211105347,3.4,4049.991999999999,9.878284454345703,3.9,,,,,0.0
15000,33.005221128463745,3.4,4049.991999999999,9.877521514892578,3.9,,,,,0.0
16000,36.10599327087402,3.4,4049.991999999999,9.880142211914062,3.9,,,,,0.0
17000,38.8681480884552,3.3,4049.991999999999,9.889511108398438,3.9,,,,,0.0
18000,41.95952272415161,3.4,4049.991999999999,9.880180358886719,3.9,,,,,0.0
19000,42.277063608169556,3.6,4049.991999999999,9.872852325439453,3.9,,,,,0.0
20000,45.35504150390625,3.4,4049.991999999999,9.877948760986328,3.9,,,,,0.0
21000,48.983726501464844,3.3,4049.991999999999,9.871528625488281,3.9,,,,,0.0
22000,52.07151007652283,3.4,4049.991999999999,9.871284484863281,3.9,,,,,0.0
23000,52.38782095909119,3.6,4049.991999999999,9.875606536865234,3.9,,,,,0.0
24000,55.468268394470215,3.4,4049.991999999999,9.8709716796875,3.9,,,,,0.0
25000,58.19719910621643,3.4,4049.991999999999,9.85708999633789,3.9,,,,,0.0
26000,61.276612281799316,3.4,4049.991999999999,9.8743896484375,3.9,,,,,0.0
27000,61.59266805648804,3.2,4049.991999999999,9.8743896484375,3.9,,,,,0.0
28000,64.67160177230835,3.3,4049.991999999999,9.859447479248047,3.9,,,,,0.0
29000,68.25734400749207,3.4,4049.991999999999,9.84912109375,3.9,,,,,0.0
30000,71.31839776039124,3.3,4049.991999999999,9.84576416015625,3.9,,,,,0.0
31000,71.63443183898926,3.2,4049.991999999999,9.84576416015625,3.9,,,,,0.0
32000,74.7232038974762,3.4,4049.991999999999,9.840492248535156,3.9,,,,,0.0
33000,77.47833251953125,3.4,4049.991999999999,9.85446548461914,3.9,,,,,0.0
34000,80.56583857536316,3.3,4049.991999999999,9.850212097167969,3.9,,,,,0.0
35000,80.88295531272888,3.2,4049.991999999999,9.84853744506836,3.9,,,,,0.0
36000,83.97699451446533,3.4,4049.991999999999,9.864395141601562,3.9,,,,,0.0
37000,86.73755073547363,3.3,4049.991999999999,9.844501495361328,3.9,,,,,0.0
38000,89.81186103820801,3.4,4049.991999999999,9.850582122802734,3.9,,,,,0.0
39000,90.12813329696655,3.5,4049.991999999999,9.846099853515625,3.9,,,,,0.0
40000,93.20901894569397,3.4,4049.991999999999,9.859291076660156,3.9,,,,,0.0
41000,96.80460262298584,3.3,4049.991999999999,9.843826293945312,3.9,,,,,0.0
42000,99.87442564964294,3.4,4049.991999999999,9.84259033203125,3.9,,,,,0.0
43000,100.18994784355164,3.5,4049.991999999999,9.84185791015625,3.9,,,,,0.0
44000,103.26639318466187,3.4,4049.991999999999,9.840534210205078,3.9,,,,,0.0
45000,103.58331227302551,3.3,4049.991999999999,9.840774536132812,3.9,,,,,0.0
46000,109.09658980369568,3.4,4049.991999999999,9.857791900634766,3.9,,,,,0.0
47000,109.41294169425964,3.6,4049.991999999999,9.857791900634766,3.9,,,,,0.0
48000,112.49180626869202,3.4,4049.991999999999,9.862682342529297,3.9,,,,,0.0
49000,112.80683040618896,3.1,4049.991999999999,9.860603332519531,3.9,,,,,0.0
50000,119.11220049858093,3.4,4049.991999999999,9.864669799804688,3.9,,,,,0.0
51000,119.4281690120697,3.6,4049.991999999999,9.868301391601562,3.9,,,,,0.0
52000,122.52123475074768,3.4,4049.991999999999,9.856559753417969,3.9,,,,,0.0
53000,122.83751153945923,3.2,4049.991999999999,9.856559753417969,3.9,,,,,0.0
54000,128.1749358177185,3.4,4049.991999999999,9.862957000732422,3.9,,,,,0.0
55000,128.49111986160278,3.6,4049.991999999999,9.869171142578125,3.9,,,,,0.0
56000,131.58419704437256,3.4,4049.991999999999,9.856071472167969,3.9,,,,,0.0
57000,131.9005630016327,3.2,4049.991999999999,9.856071472167969,3.9,,,,,0.0
58000,138.27873182296753,3.4,4049.991999999999,9.86422348022461,3.9,,,,,0.0
59000,138.594664812088,3.3,4049.991999999999,9.864131927490234,3.9,,,,,0.0
60000,141.68244695663452,3.4,4049.991999999999,9.858558654785156,3.9,,,,,0.0
61000,141.99791526794434,3.2,4049.991999999999,9.858558654785156,3.9,,,,,0.0
62000,147.54502654075623,3.7,4049.991999999999,9.871891021728516,3.9,,,,,0.0
63000,147.8597183227539,3.2,4049.991999999999,9.869441986083984,3.9,,,,,0.0
64000,150.95722007751465,3.4,4049.991999999999,9.867271423339844,3.9,,,,,0.0
65000,151.27249693870544,4.0,4049.991999999999,9.851287841796875,3.9,,,,,0.0
66000,156.8194510936737,3.3,4049.991999999999,9.873798370361328,3.9,,,,,0.0
67000,157.13566207885742,3.5,4049.991999999999,9.871383666992188,3.9,,,,,0.0
68000,160.21806263923645,3.4,4049.991999999999,9.877063751220703,3.9,,,,,0.0
69000,160.53390192985535,3.4,4049.991999999999,9.868850708007812,3.9,,,,,0.0
70000,166.8799011707306,3.3,4049.991999999999,9.851478576660156,3.9,,,,,0.0
71000,167.19579529762268,3.4,4049.991999999999,9.851226806640625,3.9,,,,,0.0
72000,170.2671139240265,3.4,4049.991999999999,9.852569580078125,3.9,,,,,0.0
73000,170.58293843269348,3.1,4049.991999999999,9.852569580078125,3.9,,,,,0.0
74000,176.10498309135437,3.4,4049.991999999999,9.84759521484375,3.9,,,,,0.0
75000,176.42108249664307,3.6,4049.991999999999,9.854988098144531,3.9,,,,,0.0
76000,179.50305485725403,3.4,4049.991999999999,9.865108489990234,3.9,,,,,0.0
77000,179.81928300857544,3.2,4049.991999999999,9.864334106445312,3.9,,,,,0.0
78000,186.25130367279053,3.4,4049.991999999999,9.855594635009766,3.9,,,,,0.0
79000,186.56677293777466,3.3,4049.991999999999,9.859092712402344,3.9,,,,,0.0
80000,189.6548798084259,3.4,4049.991999999999,9.863296508789062,3.9,,,,,0.0
81000,189.97022414207458,3.1,4049.991999999999,9.86233139038086,3.9,,,,,0.0
82000,195.48890686035156,3.4,4049.991999999999,9.869701385498047,3.9,,,,,0.0
83000,195.80427646636963,3.1,4049.991999999999,9.869701385498047,3.9,,,,,0.0
84000,198.8962423801422,3.4,4049.991999999999,9.86761474609375,3.9,,,,,0.0
85000,199.21216225624084,3.7,4049.991999999999,9.854385375976562,3.9,,,,,0.0
86000,202.29880452156067,3.4,4049.991999999999,9.849376678466797,3.9,,,,,0.0
87000,205.89137983322144,3.3,4049.991999999999,9.844558715820312,3.9,,,,,0.0
88000,208.97463011741638,3.4,4049.991999999999,9.849113464355469,3.9,,,,,0.0
89000,209.2893455028534,3.8,4049.991999999999,9.845767974853516,3.9,,,,,0.0
