config,policy,k,tau,tb_time_fps_last,tb_time_fps_mean,tb_cpu_pct_mean,tb_cpu_pct_p95,tb_ram_gb_mean,tb_ram_gb_p95,tb_train_timesteps_last,tb_train_ep_return_last,tb_train_ep_return_mean,tb_eval_mean_reward_last,tb_eval_mean_ep_length_last
lstm_history_cd4_k1_t90,lstm,1,0.9,437.0,437.86486486486484,3.3737113500378797,3.700000047683716,9.808046262288832,9.83546199798584,301184.0,-1749.3494873046875,-1829.1232528686523,-552.4945678710938,721.0
lstm_history_cd4_k1_t95,lstm,1,0.95,443.0,440.1216216216216,3.38350515513076,3.700000047683716,9.844804311536022,9.87125015258789,301184.0,-2270.70556640625,-2389.1091232299805,-699.0650024414062,721.0
lstm_history_cd4_k2_t90,lstm,2,0.9,440.0,435.6081081081081,3.3938144531446635,3.9000000953674316,9.84941407823071,9.876606559753418,301184.0,-1761.006591796875,-1844.509708404541,-596.8652954101562,721.0
lstm_history_cd4_k2_t95,lstm,2,0.95,439.0,438.93243243243245,3.4180412636589756,3.9000000953674316,9.84108533564302,9.907240295410157,301184.0,-2211.49951171875,-2582.5530395507812,-816.34814453125,721.0
mlp_hybrid_cd4_k1_t90,mlp,1,0.9,688.0,695.1081081081081,3.4252577577669596,4.034999966621398,9.709421511777897,9.7706880569458,301184.0,-1690.48486328125,-1856.9539680480957,-552.6417236328125,721.0
mlp_hybrid_cd4_k1_t95,mlp,1,0.95,692.0,705.9864864864865,3.39587629455881,3.8350000023841853,9.683447002135601,9.719557762145996,301184.0,-2125.230224609375,-2285.3194274902344,-929.1058349609375,721.0
mlp_hybrid_cd4_k2_t90,mlp,2,0.9,687.0,697.3783783783783,3.6128866070324612,4.800000190734863,9.671629777888661,9.708610343933106,301184.0,-1752.7222900390625,-1836.0043144226074,-975.4013671875,721.0
mlp_hybrid_cd4_k2_t95,mlp,2,0.95,685.0,696.6216216216217,3.404639203523852,3.9000000953674316,9.678395084499083,9.699114799499512,301184.0,-2503.72509765625,-2576.222801208496,-975.5027465820312,721.0
