policy,tau,dpdk_share,violation_rate,total_energy_wh,n_runs
lstm,0.9,0.6125,0.001388888888888889,123.56820010393858,2
lstm,0.95,0.7472222222222222,0.25277777777777777,125.72040022164583,2
mlp,0.9,0.5555555555555556,0.001388888888888889,121.77309116721153,2
mlp,0.95,0.7138888888888889,0.2861111111111111,125.9173454940319,2
