Controller,E_tot,avg_SEC,v,n_reconf
PPO (feed-forward),120.79000866413116,0.0073498766556066,0.001386962552011,17
PPO (recurrent),125.7436438202858,0.0076408823645297,0.001386962552011,16
Rule-based baseline,123.92332528717814,0.0077508419533076,0.0013888888888888,24
Static DPDK,147.5869824886322,0.0135466399568435,0.0,0
Static USR(k=1),178.3578740376979,0.009075385933642,0.0013888888888888,0
