policy,tau,tb_time_fps_last,tb_time_fps_mean,tb_cpu_pct_mean,tb_cpu_pct_p95,tb_ram_gb_mean,tb_ram_gb_p95,tb_train_timesteps_last,tb_train_ep_return_last,tb_train_ep_return_mean,tb_eval_mean_reward_last,n_runs
lstm,0.9,438.5,436.73648648648646,3.383762901591272,3.8000000715255737,9.828730170259771,9.856034278869629,301184.0,-1755.1780395507812,-1836.8164806365967,-574.679931640625,2
lstm,0.95,441.0,439.52702702702703,3.4007732093948677,3.8000000715255737,9.842944823589521,9.889245223999023,301184.0,-2241.1025390625,-2485.831081390381,-757.7065734863281,2
mlp,0.9,687.5,696.2432432432432,3.5190721823997104,4.417500078678131,9.69052564483328,9.739649200439453,301184.0,-1721.6035766601562,-1846.4791412353516,-764.0215454101562,2
mlp,0.95,688.5,701.3040540540541,3.400257749041331,3.8675000488758084,9.680921043317342,9.709336280822754,301184.0,-2314.4776611328125,-2430.7711143493652,-952.3042907714844,2
