Experiment,n_runs,avg_qos_mean,violation_rate_mean,avg_sec_mean,total_power_wh_mean,n_reconf_mean
A1_policy_observation,1,0.9546646870951712,0.001386962552011,0.0073498766556066,120.79000866413118,17.0
B2_top2_seeds,5,0.9538233979730435,0.00332871012482654,0.007479934999008719,122.57865291535855,16.4
C1_cooldown_instances,4,0.9537980959914759,0.0041608876560332,0.007325738792587075,121.0105627477169,22.0
D1_mlp_lstm_cd4_k_threshold,4,0.957859832002948,0.14355062413314834,0.007815931424280175,124.08941746875644,16.75
