config,policy,k,tau,n_samples,train_elapsed_s,train_steps,train_steps_per_s,sample_period_s_median,cpu_pct_mean,cpu_pct_p95,ram_gb_mean,ram_gb_peak,gpu_logged,gpu_util_pct_mean,gpu_mem_gb_peak,gpu_power_w_mean,cumulative_energy_wh_final
lstm_history_cd4_k1_t90,lstm,1,0.9,303,692.5937237739563,303000.0,437.4859164893197,3.0406802892684937,3.373267326732673,3.6,9.808278741616228,9.843006134033203,False,,,,0.0
lstm_history_cd4_k1_t95,lstm,1,0.95,303,683.4909427165985,303000.0,443.312385085453,3.0309094190597534,3.372937293729373,3.6,9.843809536974815,9.891178131103516,False,,,,0.0
lstm_history_cd4_k2_t90,lstm,2,0.9,303,687.8490858078003,303000.0,440.5036021006862,3.068613648414612,3.3950495049504945,3.8,9.849352254332489,9.905254364013672,False,,,,0.0
lstm_history_cd4_k2_t95,lstm,2,0.95,303,689.0840952396393,303000.0,439.71411050290925,3.039000391960144,3.4138613861386133,3.8,9.84030019174708,9.9278564453125,False,,,,0.0
mlp_hybrid_cd4_k1_t90,mlp,1,0.9,303,440.4188857078552,303000.0,687.9813964222011,1.882571816444397,3.4132013201320124,3.9,9.709536712948639,9.797889709472656,False,,,,0.0
mlp_hybrid_cd4_k1_t95,mlp,1,0.95,303,437.3757927417755,303000.0,692.7681070335086,1.8040362596512125,3.392409240924092,3.7899999999999974,9.682785550359846,9.73556137084961,False,,,,0.0
mlp_hybrid_cd4_k2_t90,mlp,2,0.9,303,440.65620374679565,303000.0,687.6108799187724,1.8287092447280884,3.5871287128712877,4.5,9.671666727601105,9.735240936279297,False,,,,0.0
mlp_hybrid_cd4_k2_t95,mlp,2,0.95,303,442.09097933769226,303000.0,685.3792865304151,1.821965217590332,3.401320132013201,3.8,9.67846970510955,9.71575927734375,False,,,,0.0
