policy,tau,train_elapsed_s,train_steps_per_s,cpu_pct_mean,cpu_pct_p95,ram_gb_mean,ram_gb_peak,gpu_logged,cumulative_energy_wh_final,n_runs
lstm,0.9,690.2214047908783,438.99475929500295,3.3841584158415836,3.7,9.828815497974357,9.874130249023438,False,0.0,2
lstm,0.95,686.2875189781189,441.5132477941811,3.3933993399339935,3.7,9.842054864360946,9.909517288208008,False,0.0,2
mlp,0.9,440.53754472732544,687.7961381704868,3.50016501650165,4.2,9.690601720274872,9.766565322875977,False,0.0,2
mlp,0.95,439.7333860397339,689.0736967819619,3.3968646864686463,3.7949999999999986,9.680627627734697,9.72566032409668,False,0.0,2
