Policy,Observation schema,E_tot,v,n_reconf
PPO,instantaneous,121.03050197660923,0.001386962552011,24
PPO,history (W),122.20658715069294,0.001386962552011,19
PPO,forecast (H),123.44953130185604,0.001386962552011,15
Recurrent PPO,instantaneous,147.79245981574059,0.0,0
Recurrent PPO,forecast (H),147.79245981574059,0.0,0
Recurrent PPO,hybrid,132.3825250416994,0.0041608876560332,14
