loss,val_loss,learning_rate
0.0555078350007534,0.02692325972020626,0.0010000000474974513
0.03182889148592949,0.0278024822473526,0.0010000000474974513
0.02905813232064247,0.0236028041690588,0.0010000000474974513
0.025255506858229637,0.016693152487277985,0.0010000000474974513
0.0225203987210989,0.01769496500492096,0.0010000000474974513
0.02192651852965355,0.014857948757708073,0.0010000000474974513
0.020525576546788216,0.015828812494874,0.0010000000474974513
0.020245101302862167,0.015748610720038414,0.0010000000474974513
0.01917579211294651,0.0156390480697155,0.0010000000474974513
0.017564602196216583,0.014054086059331894,0.0010000000474974513
0.018875103443861008,0.01651880331337452,0.0010000000474974513
0.018923817202448845,0.016212129965424538,0.0010000000474974513
0.018439898267388344,0.015979906544089317,0.0010000000474974513
0.01713966764509678,0.014768396504223347,0.0010000000474974513
0.017362387850880623,0.014902103692293167,0.0010000000474974513
0.01772538386285305,0.014884935691952705,0.0010000000474974513
0.017493871971964836,0.01355813816189766,0.0010000000474974513
0.017181091010570526,0.01699579693377018,0.0010000000474974513
0.016492269933223724,0.015164305455982685,0.0010000000474974513
0.015521449968218803,0.013731281273066998,0.0010000000474974513
0.015392040833830833,0.014646623283624649,0.0010000000474974513
0.01663593016564846,0.014214489609003067,0.0010000000474974513
0.0160377100110054,0.013641759753227234,0.0010000000474974513
0.015813183039426804,0.013720315881073475,0.0010000000474974513
0.01570780761539936,0.01425864826887846,0.0005000000237487257
0.015730833634734154,0.01602199301123619,0.0005000000237487257
0.014897136949002743,0.015798551961779594,0.0005000000237487257
0.0138363903388381,0.01617245376110077,0.0005000000237487257
0.013866418041288853,0.013588566333055496,0.0005000000237487257
0.014320862479507923,0.015063722617924213,0.0005000000237487257
0.01389266550540924,0.016631536185741425,0.0005000000237487257
0.012998226098716259,0.013218230567872524,0.0002500000118743628
0.013112518936395645,0.013291546143591404,0.0002500000118743628
0.013041522353887558,0.015012978576123714,0.0002500000118743628
0.013201629742980003,0.012568513862788677,0.0002500000118743628
0.012590247206389904,0.013631636276841164,0.0002500000118743628
0.0129741495475173,0.011613751761615276,0.0002500000118743628
0.012525704689323902,0.013989248313009739,0.0002500000118743628
0.012635634280741215,0.013493460603058338,0.0002500000118743628
0.012760111130774021,0.013491210527718067,0.0002500000118743628
0.013947252184152603,0.014138656668365002,0.0002500000118743628
0.013320110738277435,0.015425399877130985,0.0002500000118743628
0.013705416582524776,0.01192481815814972,0.0002500000118743628
0.013708519749343395,0.012730175629258156,0.0002500000118743628
0.012023655697703362,0.013134035281836987,0.0001250000059371814
0.011939858086407185,0.012693905271589756,0.0001250000059371814
0.012255084700882435,0.013482480309903622,0.0001250000059371814
0.01262302789837122,0.012730187736451626,0.0001250000059371814
0.012069238349795341,0.012903223745524883,0.0001250000059371814
0.013233271427452564,0.012908916920423508,0.0001250000059371814
0.011903696693480015,0.01277528703212738,0.0001250000059371814
0.012583429925143719,0.013020969927310944,6.25000029685907e-05
