comparison,trace,metric,n_seeds,FF-PPO_mean,FF-PPO_std,FF-PPO_median,ci_lo,ci_hi,Rule-based_ref,mean_diff,median_diff,pct_diff,n_better,n_worse,W,p_value,sig_a05
FF-PPO vs Rule-based,YouTube,Total Energy (Wh),5,124.4696,1.603959,124.67,122.478022,126.461178,123.57,0.8996,1.1,0.728,1,4,3.0,0.3125,False
FF-PPO vs Rule-based,YouTube,Mean SEC (W/Mbps),5,0.007821,0.000248,0.007809,0.007513,0.008129,0.007974,-0.000153,-0.000165,-1.9187,3,1,1.0,0.25,False
FF-PPO vs Rule-based,YouTube,QoS Violation Rate,5,0.00442,0.007213,0.0,-0.004537,0.013377,0.0,0.00442,0.0,,0,2,0.0,0.5,False
