k,threshold,avg_qos__lstm,avg_qos__mlp,avg_sec__lstm,avg_sec__mlp,cooldown_blocked__lstm,cooldown_blocked__mlp,total_power__lstm,total_power__mlp,violation_rate__lstm,violation_rate__mlp,delta_avg_sec__mlp_minus_lstm,delta_total_power__mlp_minus_lstm,delta_avg_qos__mlp_minus_lstm,delta_violation_rate__mlp_minus_lstm,delta_cooldown_blocked__mlp_minus_lstm
1,0.9,0.9587107200728375,0.9539193759017447,0.0074689698753679055,0.007489892925702802,2,3,487.2124336361885,493.29047280550003,0.0013869625520110957,0.0013869625520110957,2.092305033489679e-05,6.078039169311523,-0.004791344171092837,0.0,1
1,0.95,0.9646491724971925,0.9649802676186316,0.008207928739041144,0.00884183188067194,0,0,511.7570529580116,517.9402352571487,0.20804438280166435,0.20249653259361997,0.0006339031416307955,6.1831822991371155,0.00033109512143914,-0.00554785020804438,0
2,0.9,0.9552117425757208,0.9546646870951712,0.007640882364529731,0.0073498766556066505,7,3,502.9745752811432,483.16003465652466,0.0013869625520110957,0.0013869625520110957,-0.0002910057089230804,-19.81454062461853,-0.0005470554805496741,0.0,-4
2,0.95,0.9610332123284201,0.9578749973962443,0.007703802472460919,0.007582124235139446,7,9,495.6475569009781,491.03993678092957,0.29680998613037446,0.36893203883495146,-0.0001216782373214733,-4.607620120048523,-0.003158214932175829,0.072122052704577,2
