system,source,switching_count,scaling_count,avg_qos,violation_rate,total_energy_wh,avg_power_w,avg_sec
lstm_history,D1 RL,16,0,0.9552117425757208,0.0013869625520110957,125.7436438202858,0.6976069005286313,0.007640882364529731
mlp_hybrid,D1 RL,17,7,0.9546646870951712,0.0013869625520110957,120.79000866413116,0.6701248746969829,0.0073498766556066505
baseline_rule,Baseline CSV,24,0,0.960069306111998,0.001388888888888889,123.92332528717814,0.6884629182621008,0.007750841953307637
baseline_static_dpdk,Baseline CSV,0,0,0.9731987717250983,0.0,147.5869824886322,0.8199276804924012,0.013546639956843557
baseline_static_oai1x,Baseline CSV,0,0,0.9243023867408434,0.001388888888888889,178.3578740376979,0.9908770779872106,0.009075385933642028
