timestamp,Traffic_bps,Traffic_bps_scaled,Traffic_Mbps_scaled,Traffic_Predicted_Mbps,Traffic_Prediction_Uncertainty
2019-04-01 21:45,1062985669,205794025.5184,205.7940255184,,
2019-04-01 22:00,1088192454,210674059.0944,210.6740590944,,
2019-04-01 22:15,1189487893,230284856.0848,230.2848560848,,
2019-04-01 22:30,1154476715,223506692.024,223.506692024,,
2019-04-01 22:45,1100532513,213063094.5168,213.0630945168,,
2019-04-01 23:00,967200453,187250007.7008,187.2500077008,,
2019-04-01 23:15,856881212,165892202.64319998,165.8922026432,,
2019-04-01 23:30,826681629,160045563.3744,160.0455633744,,
2019-04-01 23:45,751407034,145472401.78239998,145.47240178239997,,
2019-04-02 00:00,633281382,122603275.5552,122.6032755552,143.55775451660156,4.504435062408447
2019-04-02 00:15,602720582,116686704.6752,116.6867046752,120.88825988769531,5.323190689086914
2019-04-02 00:30,540171459,104577194.4624,104.5771944624,116.20758819580078,4.888143539428711
2019-04-02 00:45,502388060,97262328.416,97.262328416,103.0797348022461,4.645391464233398
2019-04-02 01:00,506685389,98094291.3104,98.0942913104,94.81341552734375,5.128848552703857
2019-04-02 01:15,458036724,88675909.7664,88.6759097664,95.38457489013672,4.936167240142822
2019-04-02 01:30,361713752,70027782.3872,70.02778238719999,86.74942016601562,4.996989727020264
2019-04-02 01:45,269247950,52126403.12,52.12640312,67.66805267333984,5.202713966369629
2019-04-02 02:00,226918487,43931419.0832,43.9314190832,48.91062545776367,4.22867488861084
2019-04-02 02:15,238578403,46188778.8208,46.1887788208,43.226356506347656,4.285204887390137
2019-04-02 02:30,202155555,39137315.448,39.137315448,44.36806106567383,4.6314897537231445
2019-04-02 02:45,233030381,45114681.7616,45.1146817616,38.4393310546875,6.143563270568848
2019-04-02 03:00,228021093,44144883.6048,44.1448836048,44.34981155395508,4.038257598876953
2019-04-02 03:15,211924719,41028625.5984,41.0286255984,42.124534606933594,5.496361255645752
2019-04-02 03:30,218713623,42342957.4128,42.3429574128,39.686073303222656,4.017960071563721
2019-04-02 03:45,170293519,32968825.2784,32.9688252784,41.21726608276367,4.248330593109131
2019-04-02 04:00,103858968,20107096.2048,20.1070962048,33.01939010620117,5.170945644378662
2019-04-02 04:15,104188846,20170960.5856,20.1709605856,19.624553680419922,4.545615196228027
2019-04-02 04:30,109400725,21179980.36,21.17998036,19.27580451965332,6.094634056091309
2019-04-02 04:45,104413235,20214402.296,20.214402296,21.273710250854492,3.6096627712249756
2019-04-02 05:00,107388521,20790417.6656,20.7904176656,19.958040237426758,5.071432113647461
2019-04-02 05:15,98478303,19065399.4608,19.0653994608,19.485971450805664,5.102290630340576
2019-04-02 05:30,142371771,27563174.8656,27.5631748656,16.97164535522461,4.904199600219727
2019-04-02 05:45,133181286,25783896.9696,25.7838969696,27.861539840698242,4.456781387329102
2019-04-02 06:00,217160584,42042289.0624,42.0422890624,24.522001266479492,4.363330364227295
2019-04-02 06:15,191292465,37034221.224,37.034221224,41.490699768066406,5.391034126281738
2019-04-02 06:30,241443830,46743525.488,46.743525488,38.10417175292969,4.596158981323242
2019-04-02 06:45,312771061,60552477.4096,60.5524774096,47.57588577270508,3.440211772918701
2019-04-02 07:00,444174962,85992272.6432,85.9922726432,61.057003021240234,4.438652038574219
2019-04-02 07:15,617892918,119624068.9248,119.6240689248,86.93658447265625,5.2864813804626465
2019-04-02 07:30,891064411,172510069.9696,172.51006996959998,119.3106460571289,4.355106353759766
2019-04-02 07:45,875247528,169447921.4208,169.4479214208,172.85275268554688,5.304621696472168
2019-04-02 08:00,955932150,185068464.24,185.06846424,169.93080139160156,5.110915184020996
2019-04-02 08:15,1052219251,203709646.9936,203.7096469936,185.6697235107422,4.779435157775879
2019-04-02 08:30,1006249362,194809876.4832,194.8098764832,203.6363525390625,3.141119956970215
2019-04-02 08:45,928791050,179813947.28,179.81394728,194.07241821289062,5.00184965133667
2019-04-02 09:00,776459234,150322507.7024,150.3225077024,181.5744171142578,4.701401233673096
2019-04-02 09:15,664884764,128721690.3104,128.7216903104,152.75241088867188,5.236359596252441
2019-04-02 09:30,672991855,130291223.128,130.29122312799998,130.7691192626953,4.530317783355713
2019-04-02 09:45,634466635,122832740.536,122.832740536,130.93392944335938,6.164645671844482
2019-04-02 10:00,713246018,138084429.0848,138.0844290848,125.27587890625,4.619361877441406
2019-04-02 10:15,596411973,115465357.9728,115.4653579728,140.0528106689453,4.3289642333984375
2019-04-02 10:30,653124216,126444848.2176,126.4448482176,115.32748413085938,7.068034648895264
2019-04-02 10:45,667441535,129216681.176,129.216681176,126.67436981201172,4.848331928253174
2019-04-02 11:00,741149314,143486507.1904,143.4865071904,130.03054809570312,3.7438018321990967
2019-04-02 11:15,787446385,152449620.136,152.44962013600002,144.24497985839844,5.099921703338623
2019-04-02 11:30,725176477,140394165.9472,140.3941659472,152.59127807617188,3.811948299407959
