timestamp,Traffic_bps,Traffic_bps_scaled,Traffic_Mbps_scaled,Traffic_Predicted_Mbps,Traffic_Prediction_Uncertainty
2019-04-17 12:00,805629027,155969779.6272,155.9697796272,116.19908905029297,126.00959196101721
2019-04-17 12:15,844151279,163427687.6144,163.4276876144,119.18112182617188,126.01491169962179
2019-04-17 12:30,999873607,193575530.3152,193.5755303152,123.10714721679688,126.58270827879838
2019-04-17 12:45,890022024,172308263.8464,172.3082638464,129.38230895996094,126.69974252809914
2019-04-17 13:00,914179369,176985125.8384,176.9851258384,134.54420471191406,126.66678609869516
2019-04-17 13:15,932235825,180480855.72,180.48085572,138.83248901367188,126.4737892848412
2019-04-17 13:30,951107399,184134392.4464,184.1343924464,142.27352905273438,126.12383069357897
2019-04-17 13:45,1014842395,196473487.672,196.473487672,145.009521484375,126.18868196375186
2019-04-17 14:00,794978685,153907873.416,153.907873416,147.9026336669922,125.88183566650235
2019-04-17 14:15,802397567,155344168.9712,155.3441689712,147.11184692382812,125.88183566650235
2019-04-17 14:30,775901306,150214492.8416,150.2144928416,144.47369384765625,125.88183566650235
2019-04-17 14:45,841591843,162932180.8048,162.9321808048,140.57069396972656,125.88472554667557
2019-04-17 15:00,735459432,142384946.0352,142.3849460352,137.3209686279297,125.88472554667557
2019-04-17 15:15,737988812,142874634.0032,142.8746340032,133.13612365722656,125.88472554667557
2019-04-17 15:30,691174869,133811454.6384,133.8114546384,128.95530700683594,125.88472554667557
2019-04-17 15:45,730395975,141404660.76,141.40466075999998,124.54283905029297,125.88472554667557
2019-04-17 16:00,801226651,155117479.6336,155.1174796336,121.05722045898438,125.88472554667557
2019-04-17 16:15,814618726,157710185.3536,157.7101853536,119.50360107421875,125.88472554667557
2019-04-17 16:30,877146204,169815505.0944,169.81550509439998,119.41484069824219,125.94372628392637
2019-04-17 16:45,948330484,183596781.7024,183.5967817024,121.0862045288086,126.34543142343314
2019-04-17 17:00,1076174008,208347287.9488,208.3472879488,124.64447021484375,127.13749449948085
2019-04-17 17:15,1010194949,195573742.1264,195.5737421264,130.7791748046875,127.2764210655224
2019-04-17 17:30,993559891,192353194.8976,192.3531948976,136.62164306640625,127.59579410866561
2019-04-17 17:45,936196306,181247604.8416,181.2476048416,141.40325927734375,127.62746483627825
2019-04-17 18:00,992023035,192055659.576,192.055659576,144.0928192138672,127.41585483502291
2019-04-17 18:15,941984369,182368173.8384,182.3681738384,146.10362243652344,127.19004313691633
2019-04-17 18:30,869436990,168323001.264,168.323001264,146.61355590820312,126.51299729176276
2019-04-17 18:45,942984230,182561746.928,182.561746928,145.0835723876953,126.17753528308373
2019-04-17 19:00,892152032,172720633.39519998,172.7206333952,143.68350219726562,125.82121895544041
2019-04-17 19:15,911555614,176477166.87039998,176.47716687039997,141.653076171875,125.34983821518584
2019-04-17 19:30,913155307,176786867.4352,176.7868674352,139.78294372558594,125.28289915403066
2019-04-17 19:45,845217250,163634059.6,163.6340596,138.2114715576172,124.85630565874635
2019-04-17 20:00,908703512,175924999.92319998,175.92499992319998,135.9335479736328,124.86312341686929
2019-04-17 20:15,938546451,181702592.9136,181.7025929136,134.49473571777344,124.82641604095477
2019-04-17 20:30,850276185,164613469.416,164.61346941600002,134.10060119628906,124.38281353665094
2019-04-17 20:45,918723073,177864786.9328,177.8647869328,132.9935760498047,124.59002384278541
2019-04-17 21:00,1008859675,195315233.08,195.31523308,132.69032287597656,124.83183014299357
2019-04-17 21:15,887930115,171903270.264,171.903270264,134.20651245117188,124.66257752827714
2019-04-17 21:30,963692177,186570805.4672,186.5708054672,134.69126892089844,124.64540338324773
2019-04-17 21:45,1216511069,235516542.9584,235.5165429584,135.75621032714844,125.74349887192473
2019-04-17 22:00,1178409276,228140035.8336,228.1400358336,140.86007690429688,126.76090182890788
2019-04-17 22:15,1028529512,199123313.5232,199.1233135232,146.95213317871094,126.74828071957994
2019-04-17 22:30,1064973524,206178874.2464,206.1788742464,150.5902099609375,127.35542685082943
2019-04-17 22:45,1015713070,196642050.352,196.642050352,153.05966186523438,127.97795422185801
