Exp,Config,Seed,Trace,E_tot,SEC,v,n_sw,n_sc,n_bl
B1,lstm_history,mean±std,Main,125.2936±5.1059,0.0080±0.0012,0.0061±0.0043,20.0000±10.1980,5.8000±3.6332,22.8000±19.7535
B1,lstm_history,mean±std,YouTube,126.7672±5.7428,0.0087±0.0023,0.0100±0.0091,20.4000±13.0499,4.4000±3.2094,25.6000±25.6086
B1,mlp_hybrid,mean±std,Main,122.5786±1.5002,0.0075±0.0002,0.0033±0.0036,16.8000±3.8987,10.6000±7.3689,12.0000±9.5131
B1,mlp_hybrid,mean±std,YouTube,124.4696±1.6040,0.0078±0.0002,0.0044±0.0072,16.4000±3.5071,10.8000±6.8337,14.8000±13.7004
