model,number_of_reconfigurations_mean,number_of_reconfigurations_std,number_of_scaling_events_mean,number_of_scaling_events_std,total_energy_wh_mean,total_energy_wh_std,avg_sec_mean,avg_sec_std,violation_rate_mean,violation_rate_std
lstm_history,20.0,10.198039027185569,5.8,3.63318042491699,125.29353006780147,5.105974337151783,0.008038834595520534,0.001243853033170489,0.0061026352288488205,0.004341879567960756
mlp_hybrid,16.4,3.507135583350037,10.6,7.3688533707762165,122.57865291535855,1.5000833089473422,0.007479934999008772,0.00015171562854502857,0.0033287101248266294,0.0036167558419986953
