step,actual_traffic_mbps,predicted_traffic_mbps,upf_config,power_w,energy_wh,qos,sec,qos_violation
339,98.4545,,OAI-1x,0.892913,0.223228,0.927075,0.0090693,0
340,86.7062,,OAI-1x,0.784637,0.196159,0.929526,0.00904937,0
341,42.9577,,OAI-1x,0.358454,0.089614,0.933652,0.00834436,0
342,44.1422,,OAI-1x,0.375607,0.093902,0.933836,0.00850904,0
343,41.6243,,OAI-1x,0.339931,0.084983,0.933468,0.00816665,0
344,33.7776,,OAI-1x,0.269642,0.06741,0.929798,0.00798285,0
345,36.153,,OAI-1x,0.302611,0.075653,0.93128,0.00837029,0
346,28.2389,,OAI-1x,0.225527,0.056382,0.925974,0.00798639,0
347,27.8245,,OAI-1x,0.224977,0.056244,0.92568,0.00808556,0
348,20.2607,,OAI-1x,0.204499,0.051125,0.920813,0.0100934,0
349,22.6202,,OAI-1x,0.216542,0.054135,0.92112,0.00957292,0
350,25.7468,,OAI-1x,0.246258,0.061565,0.924044,0.00956464,0
351,29.8041,,OAI-1x,0.227712,0.056928,0.927095,0.00764028,0
352,27.0932,,OAI-1x,0.231461,0.057865,0.925115,0.00854313,0
353,22.2771,,OAI-1x,0.212829,0.053207,0.920773,0.0095537,0
354,20.4847,,OAI-1x,0.202007,0.050502,0.920763,0.00986133,0
355,19.6376,,OAI-1x,0.207165,0.051791,0.920906,0.01054936,0
356,18.4081,,OAI-1x,0.19654,0.049135,0.92107,0.01067683,0
357,13.5375,,OAI-1x,0.146478,0.036619,0.918892,0.01082013,0
358,27.3927,,OAI-1x,0.228234,0.057059,0.925351,0.00833195,0
359,45.5929,,OAI-1x,0.395971,0.098993,0.934072,0.00868492,0
360,15.2725,,OAI-1x,0.165992,0.041498,0.920359,0.01086867,0
361,25.7839,,OAI-1x,0.245831,0.061458,0.924063,0.00953427,0
362,27.9921,,OAI-1x,0.225212,0.056303,0.925801,0.00804557,0
363,33.1108,,OAI-1x,0.259888,0.064972,0.929362,0.00784902,0
364,45.9997,,OAI-1x,0.40157,0.100392,0.934142,0.00872983,0
365,63.106,,OAI-1x,0.58244,0.14561,0.935887,0.00922956,0
366,73.5074,,OAI-1x,0.664679,0.16617,0.933056,0.00904235,0
367,95.819,,OAI-1x,0.868041,0.21701,0.927573,0.00905917,0
368,103.0928,,OAI-1x,0.937479,0.23437,0.926247,0.00909354,0
369,101.6911,,OAI-1x,0.923838,0.230959,0.926502,0.00908475,0
370,105.9631,,OAI-1x,0.966531,0.241633,0.925738,0.00912139,0
371,104.3291,,OAI-1x,0.950151,0.237538,0.926028,0.00910725,0
372,113.0193,,OAI-1x,1.033579,0.258395,0.92419,0.00914516,0
373,92.1115,,OAI-1x,0.83422,0.208555,0.92831,0.00905664,0
374,90.548,,OAI-1x,0.820292,0.205073,0.92862,0.00905919,0
375,89.4304,,OAI-1x,0.810193,0.202548,0.928877,0.00905948,0
376,86.2721,,OAI-1x,0.780539,0.195135,0.929632,0.00904741,0
377,77.5299,,OAI-1x,0.696352,0.174088,0.931938,0.00898173,0
378,77.3365,,OAI-1x,0.694466,0.173616,0.931991,0.0089798,0
379,90.7594,,OAI-1x,0.822186,0.205546,0.928571,0.00905896,0
380,79.5103,,OAI-1x,0.714994,0.178748,0.931385,0.00899247,0
381,86.5436,,OAI-1x,0.783051,0.195763,0.929573,0.00904805,0
382,85.4551,,OAI-1x,0.772496,0.193124,0.929832,0.00903979,0
383,87.2289,,OAI-1x,0.789639,0.19741,0.929414,0.00905249,0
384,80.0725,,OAI-1x,0.720187,0.180047,0.93123,0.00899419,0
385,86.7195,,OAI-1x,0.784779,0.196195,0.929524,0.00904963,0
386,89.4805,,OAI-1x,0.810589,0.202647,0.928872,0.00905883,0
387,113.203,,OAI-1x,1.035349,0.258837,0.924137,0.00914595,0
388,95.6264,,OAI-1x,0.866289,0.216572,0.927615,0.0090591,0
389,117.8739,,OAI-1x,1.077949,0.269487,0.922845,0.00914493,0
390,105.3808,,OAI-1x,0.960664,0.240166,0.925847,0.00911613,0
391,104.06,,OAI-1x,0.947476,0.236869,0.926064,0.00910509,0
392,81.361,,OAI-1x,0.731999,0.183,0.9309,0.00899693,0
393,94.1019,,OAI-1x,0.852246,0.213061,0.927907,0.00905663,0
394,84.763,,OAI-1x,0.765647,0.191412,0.93001,0.0090328,0
395,105.2512,,OAI-1x,0.959304,0.239826,0.925869,0.00911442,0
396,96.8204,,OAI-1x,0.877416,0.219354,0.927392,0.0090623,0
397,81.3296,,OAI-1x,0.731741,0.182935,0.930912,0.00899723,0
398,81.648,,OAI-1x,0.734668,0.183667,0.930822,0.00899799,0
399,85.4407,,OAI-1x,0.772427,0.193107,0.929842,0.0090405,0
400,87.3466,,OAI-1x,0.790762,0.19769,0.929369,0.00905315,0
401,98.9302,,OAI-1x,0.897537,0.224384,0.926995,0.00907243,0
402,99.1122,,OAI-1x,0.899261,0.224815,0.92696,0.00907316,0
403,90.8101,,OAI-1x,0.822626,0.205657,0.928575,0.00905876,0
404,101.1169,,OAI-1x,0.918372,0.229593,0.926603,0.00908228,0
405,107.3137,,OAI-1x,0.979703,0.244926,0.925498,0.00912934,0
406,113.3135,,OAI-1x,1.036356,0.259089,0.924101,0.00914592,0
407,109.6673,,OAI-1x,1.00232,0.25058,0.925086,0.00913964,0
408,116.7907,,OAI-1x,1.067847,0.266962,0.923147,0.00914326,0
