step,actual_traffic_mbps,predicted_traffic_mbps,upf_config,power_w,energy_wh,qos,sec,qos_violation
83,92.727,,OAI-1x,0.839783,0.209946,0.928184,0.00905651,0
84,101.9575,,OAI-1x,0.926246,0.231561,0.92644,0.00908463,0
85,119.3082,,OAI-1x,1.091113,0.272778,0.922451,0.00914533,0
86,88.7113,,OAI-1x,0.803674,0.200918,0.929047,0.00905943,0
87,69.2165,,OAI-1x,0.632903,0.158226,0.934173,0.00914383,0
88,83.4569,,OAI-1x,0.752309,0.188077,0.930346,0.00901435,0
89,78.5698,,OAI-1x,0.706194,0.176549,0.931654,0.00898811,0
90,88.6324,,OAI-1x,0.802916,0.200729,0.929066,0.00905895,0
91,75.1291,,OAI-1x,0.676257,0.169064,0.932617,0.00900126,0
92,75.8048,,OAI-1x,0.681735,0.170434,0.932427,0.00899329,0
93,81.2284,,OAI-1x,0.730851,0.182713,0.930925,0.00899749,0
94,95.5749,,OAI-1x,0.865774,0.216443,0.927617,0.00905859,0
95,99.0585,,OAI-1x,0.89884,0.22471,0.926961,0.00907383,0
96,92.4367,,OAI-1x,0.837135,0.209284,0.928234,0.0090563,0
97,144.7699,,OAI-1x,1.31673,0.329183,0.920145,0.00909533,0
98,173.0397,,OAI-1x,1.583672,0.395918,0.918722,0.00915208,0
99,183.6432,,OAI-1x,1.67712,0.41928,0.917477,0.00913249,0
100,204.849,,OAI-1x,1.859943,0.464986,0.911103,0.00907958,0
101,243.3266,,OAI-1x,2.186854,0.546713,0.911415,0.00898732,0
102,205.1044,,OAI-1x,1.862359,0.46559,0.910997,0.00908006,0
103,181.0352,,OAI-1x,1.65455,0.413638,0.918172,0.00913939,0
104,148.8819,,OAI-1x,1.356067,0.339017,0.919952,0.00910834,0
105,144.5472,,OAI-1x,1.314776,0.328694,0.920135,0.00909583,0
106,156.4461,,OAI-1x,1.430399,0.3576,0.919547,0.00914308,0
107,136.0037,,OAI-1x,1.239686,0.309921,0.920642,0.00911509,0
108,130.8318,,OAI-1x,1.195327,0.298832,0.920987,0.00913636,0
109,107.8393,,OAI-1x,0.984769,0.246192,0.925421,0.00913182,0
110,101.2424,,OAI-1x,0.919607,0.229902,0.926573,0.00908321,0
111,109.5398,,OAI-1x,1.001113,0.250278,0.925133,0.00913926,0
112,105.4792,,OAI-1x,0.961649,0.240412,0.925834,0.00911695,0
113,114.6248,,OAI-1x,1.048337,0.262084,0.923774,0.00914581,0
114,111.964,,OAI-1x,1.023941,0.255985,0.924478,0.00914527,0
115,126.2999,,OAI-1x,1.15499,0.288748,0.921275,0.00914482,0
116,119.5982,,OAI-1x,1.093756,0.273439,0.922357,0.00914525,0
117,153.5352,,OAI-1x,1.402334,0.350584,0.919697,0.00913363,0
118,168.0965,,OAI-1x,1.538167,0.384542,0.918944,0.0091505,0
119,139.9559,,OAI-1x,1.273206,0.318301,0.920404,0.0090972,0
120,176.5917,,OAI-1x,1.615634,0.403909,0.918553,0.00914898,0
121,160.7472,,OAI-1x,1.471053,0.367763,0.919314,0.00915135,0
122,214.6936,,OAI-1x,1.950189,0.487547,0.910766,0.00908359,0
123,215.1798,,OAI-1x,1.95441,0.488603,0.9108,0.00908268,0
124,164.7841,,OAI-1x,1.508293,0.377073,0.919101,0.00915314,0
