step,actual_traffic_mbps,predicted_traffic_mbps,upf_config,power_w,energy_wh,qos,sec,qos_violation
76,29.5807,,1xOAI,0.227365,0.056841,0.926935,0.00768626,0
77,47.9984,,1xOAI,0.428393,0.107098,0.934444,0.00892515,0
78,70.4939,,2xOAI,0.585742,0.146435,0.930727,0.00830912,0
79,90.0655,,2xOAI,0.776415,0.194104,0.933991,0.00862056,0
80,83.1271,,2xOAI,0.678241,0.16956,0.933439,0.00815908,0
81,97.0232,,2xOAI,0.870012,0.217503,0.934523,0.00896705,0
82,80.4964,,2xOAI,0.641932,0.160483,0.933246,0.00797466,0
83,97.2268,,DPDK,0.819766,0.204941,0.974881,0.00843147,0
84,92.727,,DPDK,0.819677,0.204919,0.974833,0.00883969,0
85,101.9575,,DPDK,0.819864,0.204966,0.97493,0.00804124,0
86,119.3082,,DPDK,0.820192,0.205048,0.974998,0.00687456,0
87,88.7113,,2xOAI,0.757306,0.189327,0.933878,0.00853675,0
88,69.2165,,2xOAI,0.568579,0.142145,0.930326,0.0082145,0
89,83.4569,,2xOAI,0.68249,0.170623,0.933473,0.00817776,0
90,78.5698,,2xOAI,0.62037,0.155093,0.933102,0.00789578,0
91,88.6324,,2xOAI,0.756184,0.189046,0.933864,0.00853169,0
92,75.1291,,2xOAI,0.618168,0.154542,0.932116,0.00822808,0
93,75.8048,,2xOAI,0.618549,0.154637,0.932325,0.00815976,0
94,81.2284,,2xOAI,0.652554,0.163139,0.933306,0.00803357,0
95,95.5749,,DPDK,0.81973,0.204933,0.974863,0.00857683,0
96,99.0585,,DPDK,0.819804,0.204951,0.974898,0.00827596,0
97,92.4367,,DPDK,0.819673,0.204918,0.974826,0.00886739,0
98,144.7699,,DPDK,0.820549,0.205137,0.975228,0.00566795,0
99,173.0397,,DPDK,0.820809,0.205202,0.975261,0.00474347,0
100,183.6432,,DPDK,0.82089,0.205222,0.97527,0.00447003,0
101,204.849,,DPDK,0.821038,0.205259,0.975294,0.00400801,0
102,243.3266,,DPDK,0.821271,0.205318,0.975313,0.00337518,0
103,205.1044,,DPDK,0.821039,0.20526,0.975292,0.00400303,0
104,181.0352,,DPDK,0.82087,0.205218,0.975267,0.00453431,0
105,148.8819,,DPDK,0.820593,0.205148,0.975239,0.0055117,0
106,144.5472,,DPDK,0.820547,0.205137,0.975228,0.00567667,0
107,156.4461,,DPDK,0.820666,0.205166,0.975245,0.00524568,0
108,136.0037,,DPDK,0.820448,0.205112,0.975158,0.00603254,0
109,130.8318,,DPDK,0.820382,0.205095,0.975111,0.00627051,0
110,107.8393,,DPDK,0.819981,0.204995,0.974989,0.00760373,0
111,101.2424,,DPDK,0.81985,0.204962,0.974925,0.00809789,0
112,109.5398,,DPDK,0.820014,0.205003,0.974996,0.00748599,0
113,105.4792,,DPDK,0.819935,0.204984,0.974964,0.00777343,0
114,114.6248,,DPDK,0.820108,0.205027,0.974997,0.00715472,0
115,111.964,,DPDK,0.820059,0.205015,0.974996,0.00732432,0
116,126.2999,,DPDK,0.820313,0.205078,0.975066,0.00649496,0
117,119.5982,,DPDK,0.820197,0.205049,0.974996,0.00685793,0
118,153.5352,,DPDK,0.820639,0.20516,0.975244,0.00534496,0
119,168.0965,,DPDK,0.820769,0.205192,0.975255,0.00488273,0
120,139.9559,,DPDK,0.820496,0.205124,0.975189,0.00586253,0
121,176.5917,,DPDK,0.820837,0.205209,0.975262,0.00464822,0
122,160.7472,,DPDK,0.820705,0.205176,0.97525,0.00510556,0
123,214.6936,,DPDK,0.821101,0.205275,0.975301,0.00382452,0
124,215.1798,,DPDK,0.821104,0.205276,0.975301,0.0038159,0
125,164.7841,,DPDK,0.820741,0.205185,0.975255,0.0049807,0
126,175.8148,,DPDK,0.820831,0.205208,0.975258,0.00466872,0
127,189.4203,,DPDK,0.820932,0.205233,0.975276,0.00433391,0
