Actual_Traffic,Predicted_Traffic,UPF_Config,Energy_Wh_Expected,Energy_Wh_Actual,Power_W_Expected,Power_W_Actual,QoS_Score_Expected,QoS_Score_Actual
167.81863,132.57086,"('DPDK', 1)",0.20510129630565643,0.20519179105758667,0.8204051852226257,0.8207671642303467,0.9751251339912415,0.9752588868141174
160.09944,138.10303,"('DPDK', 1)",0.20511914789676666,0.2051747888326645,0.8204765915870667,0.820699155330658,0.9751706719398499,0.9752485752105713
158.9883,141.49438,"('DPDK', 1)",0.2051287144422531,0.20517228543758392,0.8205148577690125,0.8206891417503357,0.9752033352851868,0.9752481579780579
176.37837,143.1701,"('DPDK', 1)",0.2051331251859665,0.20520876348018646,0.820532500743866,0.8208350539207458,0.9752140045166016,0.9752596020698547
155.88342,144.84843,"('DPDK', 1)",0.2051374763250351,0.20516516268253326,0.8205499053001404,0.8206606507301331,0.9752312302589417,0.9752465486526489
151.22221,144.57474,"('DPDK', 1)",0.20513670146465302,0.2051542103290558,0.8205468058586121,0.8206168413162231,0.9752272367477417,0.975242555141449
193.24802,142.78683,"('DPDK', 1)",0.20513150095939636,0.2052396535873413,0.8205260038375854,0.8209586143493652,0.9752106070518494,0.9752804636955261
171.16562,143.47183,"('DPDK', 1)",0.2051331251859665,0.20519861578941345,0.820532500743866,0.8207944631576538,0.9752140045166016,0.9752567410469055
263.77927,143.55887,"('DPDK', 1)",0.2051331251859665,0.2053450047969818,0.820532500743866,0.8213800191879272,0.9752140045166016,0.9752077460289001
205.65248,150.52281,"('DPDK', 1)",0.2051527202129364,0.20526070892810822,0.8206108808517456,0.8210428357124329,0.975241482257843,0.9752936959266663
211.1239,155.69266,"('DPDK', 1)",0.20516516268253326,0.20526959002017975,0.8206606507301331,0.821078360080719,0.9752465486526489,0.9752954840660095
228.69154,159.81682,"('DPDK', 1)",0.20517399907112122,0.20529665052890778,0.8206959962844849,0.8211866021156311,0.9752519130706787,0.9753121137619019
277.7315,164.11769,"('DPDK', 1)",0.2051834613084793,0.20536144077777863,0.8207338452339172,0.8214457631111145,0.9752517342567444,0.9751262664794922
230.90446,171.79828,"('DPDK', 1)",0.20519991219043732,0.20529991388320923,0.8207996487617493,0.8211996555328369,0.9752567410469055,0.975314736366272
217.47331,176.38463,"('DPDK', 1)",0.20520876348018646,0.2052796334028244,0.8208350539207458,0.8211185336112976,0.9752596020698547,0.9753014445304871
198.65396,177.6268,"('DPDK', 1)",0.20521113276481628,0.20524899661540985,0.8208445310592651,0.8209959864616394,0.9752645492553711,0.9752857685089111
226.23712,175.18945,"('DPDK', 1)",0.20520555973052979,0.20529299974441528,0.8208222389221191,0.8211719989776611,0.9752606153488159,0.9753099083900452
233.50075,173.15959,"('DPDK', 1)",0.20520229637622833,0.20530369877815247,0.8208091855049133,0.8212147951126099,0.9752606749534607,0.975318431854248
198.14981,171.92079,"('DPDK', 1)",0.20520024001598358,0.2052481323480606,0.8208009600639343,0.8209925293922424,0.9752599000930786,0.9752839207649231
190.36385,168.25017,"('DPDK', 1)",0.20519264042377472,0.2052345722913742,0.8207705616950989,0.8209382891654968,0.9752549529075623,0.975278913974762
202.63823,163.08983,"('DPDK', 1)",0.20518101751804352,0.20525571703910828,0.8207240700721741,0.8210228681564331,0.9752503633499146,0.9752909541130066
204.8867,158.63371,"('DPDK', 1)",0.20517154037952423,0.20525944232940674,0.8206861615180969,0.821037769317627,0.9752479195594788,0.9752917885780334
224.00758,155.14442,"('DPDK', 1)",0.20516321063041687,0.20528964698314667,0.8206528425216675,0.8211585879325867,0.9752432703971863,0.975307047367096
206.33327,154.11372,"('DPDK', 1)",0.20516134798526764,0.20526182651519775,0.8206453919410706,0.821047306060791,0.9752436876296997,0.9752947092056274
220.22345,153.0389,"('DPDK', 1)",0.20515842735767365,0.20528388023376465,0.8206337094306946,0.8211355209350586,0.9752420783042908,0.9753078818321228
216.26312,153.28917,"('DPDK', 1)",0.2051595002412796,0.20527774095535278,0.8206380009651184,0.8211109638214111,0.975242555141449,0.9753021001815796
230.04115,153.81046,"('DPDK', 1)",0.2051597684621811,0.20529864728450775,0.8206390738487244,0.821194589138031,0.9752435088157654,0.9753154516220093
233.72758,155.57584,"('DPDK', 1)",0.20516516268253326,0.20530402660369873,0.8206606507301331,0.8212161064147949,0.9752465486526489,0.975317656993866
220.42496,158.05424,"('DPDK', 1)",0.20516997575759888,0.20528419315814972,0.8206799030303955,0.8211367726325989,0.975245475769043,0.975308358669281
218.26634,159.48703,"('DPDK', 1)",0.20517341792583466,0.2052808552980423,0.8206936717033386,0.8211234211921692,0.9752499461174011,0.9753040671348572
209.71397,160.0349,"('DPDK', 1)",0.2051747888326645,0.20526732504367828,0.820699155330658,0.8210693001747131,0.9752485752105713,0.975295901298523
242.821,159.2354,"('DPDK', 1)",0.20517240464687347,0.205316960811615,0.8206896185874939,0.82126784324646,0.9752485156059265,0.9753177165985107
234.8087,160.52933,"('DPDK', 1)",0.20517577230930328,0.20530559122562408,0.8207030892372131,0.8212223649024963,0.9752492308616638,0.9753196835517883
250.99388,161.98045,"('DPDK', 1)",0.20517858862876892,0.20532816648483276,0.8207143545150757,0.821312665939331,0.9752517938613892,0.9752705693244934
