Actual_Traffic,Predicted_Traffic,UPF_Config,Energy_Wh_Actual,QoS_Score_Actual,Requested_Action,Executed_Action,Cooldown_Blocked,Reward,SEC
160.6437530517578,,"('DPDK', 1)",0.20517601072788239,0.9752479791641235,0,0,False,-0.5108845233917236,0.005108844954520464
175.68780517578125,,"('DPDK', 1)",0.2052074372768402,0.9752621054649353,0,0,False,-0.4672092795372009,0.004672092851251364
167.81863403320312,,"('DPDK', 1)",0.20519177615642548,0.9752588868141174,0,0,False,-0.48907986283302307,0.004890798591077328
160.0994415283203,,"('DPDK', 1)",0.2051747888326645,0.9752485752105713,0,0,False,-0.512618362903595,0.005126183852553368
158.98829650878906,,"('DPDK', 1)",0.20517228543758392,0.9752481579780579,0,0,False,-0.5161947011947632,0.005161947105079889
176.3783721923828,,"('DPDK', 1)",0.20520876348018646,0.9752596020698547,0,0,False,-0.46538305282592773,0.004653830546885729
155.8834228515625,,"('DPDK', 1)",0.20516516268253326,0.9752464890480042,0,0,False,-0.5264579057693481,0.005264579318463802
151.2222137451172,,"('DPDK', 1)",0.2051542103290558,0.975242555141449,0,0,False,-0.5426563024520874,0.005426562856882811
193.24801635742188,,"('DPDK', 1)",0.2052396535873413,0.9752804636955261,0,0,False,-0.42482125759124756,0.004248212557286024
171.16561889648438,,"('DPDK', 1)",0.20519861578941345,0.9752566814422607,0,0,False,-0.47953230142593384,0.004795323126018047
263.7792663574219,,"('DPDK', 1)",0.2053450047969818,0.9752077460289001,0,0,False,-0.31138914823532104,0.003113891463726759
205.65248107910156,,"('DPDK', 1)",0.20526070892810822,0.9752936959266663,0,0,False,-0.3992380201816559,0.003992380108684301
211.1239013671875,,"('DPDK', 1)",0.20526959002017975,0.9752954840660095,0,0,False,-0.3889082968235016,0.003889082930982113
228.69154357910156,,"('DPDK', 1)",0.20529665052890778,0.9753121137619019,0,0,False,-0.35908043384552,0.0035908042918890715
