Actual_Traffic,Predicted_Traffic,OAI_Instances,Energy_Wh_Autoscaler,QoS_Score_Autoscaler,Energy_Wh_DPDK,QoS_Score_DPDK,Energy_Wh_OAI1x,QoS_Score_OAI1x
167.81863,132.57086,1,0.3838858902454376,0.9189786314964294,0.20519179105758667,0.9752588868141174,0.3838858902454376,0.9189786314964294
160.09944,138.10303,1,0.36626043915748596,0.919345498085022,0.2051747888326645,0.9752485752105713,0.36626043915748596,0.919345498085022
158.9883,141.49438,1,0.363643616437912,0.9194085001945496,0.20517228543758392,0.9752481579780579,0.363643616437912,0.9194085001945496
176.37837,143.1701,1,0.4034426808357239,0.9185638427734375,0.20520876348018646,0.9752596020698547,0.4034426808357239,0.9185638427734375
155.88342,144.84843,1,0.3562797009944916,0.9195637106895447,0.20516516268253326,0.9752465486526489,0.3562797009944916,0.9195637106895447
151.22221,144.57474,1,0.34486252069473267,0.9198136329650879,0.2051542103290558,0.975242555141449,0.34486252069473267,0.9198136329650879
193.24802,142.78683,1,0.43932822346687317,0.9145486950874329,0.2052396535873413,0.9752804636955261,0.43932822346687317,0.9145486950874329
171.16562,143.47183,1,0.391643226146698,0.9187905192375183,0.20519861578941345,0.9752567410469055,0.391643226146698,0.9187905192375183
263.77927,143.55887,1,0.5848300457000732,0.9119371175765991,0.2053450047969818,0.9752077460289001,0.5848300457000732,0.9119371175765991
205.65248,150.52281,1,0.4668690860271454,0.9107938408851624,0.20526070892810822,0.9752936959266663,0.4668690860271454,0.9107938408851624
211.1239,155.69266,1,0.47942185401916504,0.9106944799423218,0.20526959002017975,0.9752954840660095,0.47942185401916504,0.9106944799423218
228.69154,159.81682,1,0.5176352262496948,0.9111000299453735,0.20529665052890778,0.9753121137619019,0.5176352262496948,0.9111000299453735
277.7315,164.11769,1,0.6093001961708069,0.9123108983039856,0.20536144077777863,0.9751262664794922,0.6093001961708069,0.9123108983039856
230.90446,171.79828,1,0.5221505761146545,0.9111583232879639,0.20529991388320923,0.975314736366272,0.5221505761146545,0.9111583232879639
217.47331,176.38463,1,0.4937428832054138,0.9108384847640991,0.2052796334028244,0.9753014445304871,0.4937428832054138,0.9108384847640991
198.65396,177.6268,1,0.45047375559806824,0.9129344820976257,0.20524899661540985,0.9752857685089111,0.45047375559806824,0.9129344820976257
226.23712,175.18945,1,0.5125980973243713,0.9110416173934937,0.20529299974441528,0.9753099083900452,0.5125980973243713,0.9110416173934937
233.50075,173.15959,1,0.5273720622062683,0.9112063646316528,0.20530369877815247,0.975318431854248,0.5273720622062683,0.9112063646316528
