Actual_Traffic,Predicted_Traffic,OAI_Instances,Energy_Wh_OAI2x,QoS_Score_OAI2x
167.81863403320312,132.57086181640625,2,0.37849730253219604,0.9302236437797546
160.0994415283203,138.10302734375,2,0.3600190579891205,0.9312565326690674
158.98829650878906,141.494384765625,2,0.3574139475822449,0.9313980937004089
176.3783721923828,143.17010498046875,2,0.39938125014305115,0.9291670918464661
155.8834228515625,144.8484344482422,2,0.35012349486351013,0.9318220019340515
151.2222137451172,144.57473754882812,2,0.34008389711380005,0.9324743151664734
193.24801635742188,142.78683471679688,2,0.4377628266811371,0.9274286031723022
171.16561889648438,143.47183227539062,2,0.3868565559387207,0.9298089742660522
263.7792663574219,143.55886840820312,2,0.6022907495498657,0.9209178686141968
205.65248107910156,150.52281188964844,2,0.4673842191696167,0.9262996912002563
211.1239013671875,155.69265747070312,2,0.4812386631965637,0.9258080720901489
228.69154357910156,159.8168182373047,2,0.5228947997093201,0.9238525032997131
277.73150634765625,164.11769104003906,2,0.631932258605957,0.9204781651496887
230.9044647216797,171.79827880859375,2,0.5279064178466797,0.923541784286499
217.4733123779297,176.38462829589844,2,0.4966990351676941,0.9252490997314453
198.65396118164062,177.62680053710938,2,0.45063555240631104,0.9269216656684875
226.23712158203125,175.189453125,2,0.5172974467277527,0.9241816401481628
233.50074768066406,173.1595916748047,2,0.5337530970573425,0.9231677651405334
198.14981079101562,171.92079162597656,2,0.44947394728660583,0.9269729852676392
190.3638458251953,168.2501678466797,2,0.43109723925590515,0.9276901483535767
202.6382293701172,163.08982849121094,2,0.46012991666793823,0.9265625476837158
204.88670349121094,158.6337127685547,2,0.4654489755630493,0.9263615608215332
224.00758361816406,155.14442443847656,2,0.5121200680732727,0.9244511127471924
206.33326721191406,154.1137237548828,2,0.46914374828338623,0.9262253046035767
220.22344970703125,153.0388946533203,2,0.5032522082328796,0.9249719381332397
216.26312255859375,153.28916931152344,2,0.49377480149269104,0.9253790378570557
230.04115295410156,153.81045532226562,2,0.5259867310523987,0.9236699342727661
233.7275848388672,155.57583618164062,2,0.5342559218406677,0.9231230616569519
220.42495727539062,158.0542449951172,2,0.5037116408348083,0.9249489307403564
218.26634216308594,159.48703002929688,2,0.49862539768218994,0.9252063632011414
209.71397399902344,160.03489685058594,2,0.47774434089660645,0.9259178042411804
242.8209991455078,159.2353973388672,2,0.5550675988197327,0.9218843579292297
234.80870056152344,160.52932739257812,2,0.5367788076400757,0.9229758977890015
250.99388122558594,161.98045349121094,2,0.5738925337791443,0.9213652610778809
251.533203125,164.74488830566406,2,0.5750941634178162,0.9213393330574036
270.5760803222656,167.86038208007812,2,0.6168585419654846,0.9206879734992981
323.4707946777344,172.3924102783203,2,0.7401029467582703,0.9192742705345154
364.17913818359375,181.62831115722656,2,0.831893801689148,0.9178982973098755
332.81048583984375,195.6961212158203,2,0.7614453434944153,0.9190451502799988
365.72552490234375,207.8547821044922,2,0.8352963924407959,0.9177361726760864
302.66680908203125,220.48028564453125,2,0.6902867555618286,0.9198171496391296
331.9556579589844,225.7332763671875,2,0.7595356702804565,0.9190565347671509
336.0888366699219,229.1268768310547,2,0.7688348293304443,0.9189565181732178
309.2767333984375,231.02139282226562,2,0.7065088748931885,0.9196437001228333
295.2187194824219,229.197998046875,2,0.6716228127479553,0.9200268387794495
275.6679992675781,224.3330535888672,2,0.6274951696395874,0.9205445647239685
244.02870178222656,216.57713317871094,2,0.5578378438949585,0.9218189120292664
160.5314483642578,205.3515625,2,0.3609825074672699,0.9311918616294861
160.71133422851562,186.32850646972656,2,0.36140695214271545,0.9311662316322327
157.07009887695312,165.34458923339844,2,0.3529556691646576,0.9316617250442505
154.24400329589844,145.65286254882812,2,0.3462407886981964,0.9320606589317322
136.81112670898438,128.0645751953125,2,0.31332871317863464,0.9344003796577454
126.43498229980469,112.455078125,2,0.2916816771030426,0.9358620643615723
98.24469757080078,99.26164245605469,2,0.22141627967357635,0.9346030950546265
83.8802261352539,86.89117431640625,2,0.17201845347881317,0.9335098266601562
85.43559265136719,75.52336120605469,2,0.17748020589351654,0.9336241483688354
65.63836669921875,66.09406280517578,2,0.1285725086927414,0.9291700124740601
62.17499923706055,57.69507598876953,2,0.11624149233102798,0.9279925227165222
61.91144561767578,51.15302658081055,2,0.11567232757806778,0.9279044270515442
65.12913513183594,46.53680419921875,2,0.1273295134305954,0.9289954304695129
38.7056884765625,43.8141975402832,2,0.10237691551446915,0.9209091067314148
40.42182922363281,41.00074005126953,2,0.10250601917505264,0.9208134412765503
30.927318572998047,38.78989028930664,2,0.08401749283075333,0.9204881191253662
30.075227737426758,36.71226119995117,2,0.08174429088830948,0.9202439785003662
24.107799530029297,35.06570816040039,2,0.06415776163339615,0.9170880913734436
24.730207443237305,33.719078063964844,2,0.0659431591629982,0.9174879193305969
21.124332427978516,32.92494201660156,2,0.055000584572553635,0.9157730340957642
23.100521087646484,32.533653259277344,2,0.0611945204436779,0.9165151715278625
32.19617462158203,32.73537063598633,2,0.08730009943246841,0.9207730889320374
42.09807586669922,34.10268783569336,2,0.09952626377344131,0.9207108616828918
39.222511291503906,37.13357925415039,2,0.10346267372369766,0.9209133982658386
27.164865493774414,40.821266174316406,2,0.07350561767816544,0.918954074382782
34.475303649902344,43.79077911376953,2,0.09288302809000015,0.9212687611579895
25.935060501098633,46.81943130493164,2,0.06977639347314835,0.9182147979736328
29.580711364746094,49.89113998413086,2,0.08037153631448746,0.9201103448867798
47.99835968017578,53.12533950805664,2,0.11691663414239883,0.9224536418914795
70.49388122558594,57.159122467041016,2,0.1464410275220871,0.930727481842041
90.06549072265625,62.74028396606445,2,0.1941036432981491,0.9339911341667175
83.12713623046875,69.42562866210938,2,0.1695602387189865,0.933438777923584
97.02323150634766,75.50828552246094,2,0.21750296652317047,0.934523344039917
80.49644470214844,82.04031372070312,2,0.1604829877614975,0.9332455992698669
97.22684478759766,87.42571258544922,2,0.21814744174480438,0.9345223307609558
92.72699737548828,92.35304260253906,2,0.20325897634029388,0.9341984987258911
101.9574966430664,96.12635803222656,2,0.232515349984169,0.9348703026771545
119.3082275390625,99.48097229003906,2,0.2755258083343506,0.9356848001480103
88.71131134033203,103.4203872680664,2,0.18932656943798065,0.933878481388092
69.21646881103516,105.04396057128906,2,0.14214472472667694,0.930325984954834
83.45687866210938,103.74761962890625,2,0.17062251269817352,0.9334725141525269
78.56983184814453,101.90057373046875,2,0.1550925225019455,0.9331015944480896
88.63238525390625,99.52342987060547,2,0.1890460103750229,0.933863639831543
75.12908935546875,97.79478454589844,2,0.1545419543981552,0.9321159720420837
75.8048324584961,95.65324401855469,2,0.15463726222515106,0.9323254227638245
81.22835540771484,93.57290649414062,2,0.1631384938955307,0.9333061575889587
95.57491302490234,92.12004852294922,2,0.21282799541950226,0.9344120621681213
99.05850982666016,92.18165588378906,2,0.2239602655172348,0.9346694350242615
92.43672180175781,93.34268188476562,2,0.20227770507335663,0.9341673851013184
144.76991271972656,94.54843139648438,2,0.3282565176486969,0.9333509802818298
173.03965759277344,99.3569107055664,2,0.3914406895637512,0.9295769929885864
183.64317321777344,107.73045349121094,2,0.41582560539245605,0.928362250328064
204.8489990234375,118.00801849365234,2,0.4653720557689667,0.9263613820075989
243.32659912109375,129.7703857421875,2,0.5561991333961487,0.9218493700027466
205.1043701171875,144.01101684570312,2,0.46604490280151367,0.926356852054596
181.0352020263672,154.85372924804688,2,0.41004714369773865,0.9286298155784607
148.88189697265625,160.5376739501953,2,0.335660845041275,0.9328067302703857
144.54718017578125,159.96182250976562,2,0.3278398811817169,0.9333784580230713
156.44606018066406,155.5233917236328,2,0.35145649313926697,0.9317524433135986
136.0037384033203,150.1820068359375,2,0.311763197183609,0.9345104098320007
130.83181762695312,143.24110412597656,2,0.301299124956131,0.9352304935455322
107.83934020996094,135.77699279785156,2,0.2483324557542801,0.9351888298988342
101.242431640625,127.08393096923828,2,0.23051650822162628,0.934826135635376
109.5398178100586,118.20716094970703,2,0.252747505903244,0.935267448425293
105.47917175292969,110.81401062011719,2,0.24207629263401031,0.9350646734237671
114.6247787475586,104.76828002929688,2,0.2651551067829132,0.9355167150497437
111.96395111083984,100.86544036865234,2,0.2589028477668762,0.935394823551178
126.2999267578125,98.45237731933594,2,0.2914204001426697,0.9358764290809631
119.59820556640625,98.25396728515625,2,0.2761485278606415,0.9356945157051086
153.53518676757812,98.88248443603516,2,0.3447301387786865,0.9321474432945251
168.0965118408203,102.46369934082031,2,0.37920239567756653,0.9301953315734863
139.9558563232422,108.41960144042969,2,0.3193212151527405,0.9339703917503357
176.59170532226562,113.00332641601562,2,0.3998796045780182,0.9291459918022156
160.74717712402344,119.08099365234375,2,0.36151498556137085,0.9311584234237671
214.6936492919922,124.03035736083984,2,0.49003058671951294,0.925491988658905
215.17982482910156,131.94070434570312,2,0.4912126362323761,0.925475537776947
164.7841339111328,140.53289794921875,2,0.37079888582229614,0.9306236505508423
175.8147735595703,144.54946899414062,2,0.3980309069156647,0.9292482137680054
189.42034912109375,146.4315948486328,2,0.42892682552337646,0.9277856945991516
169.7100830078125,147.78640747070312,2,0.38333478569984436,0.9299991726875305
187.6143341064453,147.01280212402344,2,0.4247834384441376,0.9279715418815613
187.94610595703125,146.5373992919922,2,0.42550036311149597,0.9279363751411438
165.27438354492188,146.16404724121094,2,0.37200796604156494,0.93056720495224
216.0363311767578,144.06463623046875,2,0.49325403571128845,0.925378143787384
231.21888732910156,145.26698303222656,2,0.5286319255828857,0.9235009551048279
224.0286102294922,149.19711303710938,2,0.5121549367904663,0.9244555234909058
276.9537658691406,153.59848022460938,2,0.6302520036697388,0.920490026473999
299.09906005859375,162.07382202148438,2,0.6813843846321106,0.9199238419532776
290.7749938964844,173.50779724121094,2,0.661247193813324,0.9201256036758423
319.28912353515625,184.4447784423828,2,0.7303434610366821,0.9193782210350037
306.7967224121094,196.2139892578125,2,0.7004779577255249,0.9197023510932922
328.66424560546875,205.61782836914062,2,0.7520888447761536,0.9191447496414185
265.4051818847656,214.42373657226562,2,0.605821967124939,0.9208595752716064
