Actual_Traffic,Predicted_Traffic,UPF_Config,Energy_Wh_Actual,QoS_Score_Actual
167.81863,132.57086,"('DPDK', 1)",0.20519179105758667,0.9752588868141174
160.09944,138.10303,"('DPDK', 1)",0.2051747888326645,0.9752485752105713
158.9883,141.49438,"('DPDK', 1)",0.20517228543758392,0.9752481579780579
176.37837,143.1701,"('DPDK', 1)",0.20520876348018646,0.9752596020698547
155.88342,144.84843,"('DPDK', 1)",0.20516516268253326,0.9752465486526489
151.22221,144.57474,"('DPDK', 1)",0.2051542103290558,0.975242555141449
193.24802,142.78683,"('DPDK', 1)",0.2052396535873413,0.9752804636955261
171.16562,143.47183,"('DPDK', 1)",0.20519861578941345,0.9752567410469055
263.77927,143.55887,"('DPDK', 1)",0.2053450047969818,0.9752077460289001
205.65248,150.52281,"('DPDK', 1)",0.20526070892810822,0.9752936959266663
211.1239,155.69266,"('DPDK', 1)",0.20526959002017975,0.9752954840660095
228.69154,159.81682,"('DPDK', 1)",0.20529665052890778,0.9753121137619019
277.7315,164.11769,"('DPDK', 1)",0.20536144077777863,0.9751262664794922
230.90446,171.79828,"('DPDK', 1)",0.20529991388320923,0.975314736366272
217.47331,176.38463,"('DPDK', 1)",0.2052796334028244,0.9753014445304871
198.65396,177.6268,"('DPDK', 1)",0.20524899661540985,0.9752857685089111
226.23712,175.18945,"('DPDK', 1)",0.20529299974441528,0.9753099083900452
233.50075,173.15959,"('DPDK', 1)",0.20530369877815247,0.975318431854248
198.14981,171.92079,"('DPDK', 1)",0.2052481323480606,0.9752839207649231
190.36385,168.25017,"('DPDK', 1)",0.2052345722913742,0.975278913974762
202.63823,163.08983,"('DPDK', 1)",0.20525571703910828,0.9752909541130066
204.8867,158.63371,"('DPDK', 1)",0.20525944232940674,0.9752917885780334
224.00758,155.14442,"('DPDK', 1)",0.20528964698314667,0.975307047367096
206.33327,154.11372,"('DPDK', 1)",0.20526182651519775,0.9752947092056274
220.22345,153.0389,"('DPDK', 1)",0.20528388023376465,0.9753078818321228
216.26312,153.28917,"('DPDK', 1)",0.20527774095535278,0.9753021001815796
230.04115,153.81046,"('DPDK', 1)",0.20529864728450775,0.9753154516220093
233.72758,155.57584,"('DPDK', 1)",0.20530402660369873,0.975317656993866
220.42496,158.05424,"('DPDK', 1)",0.20528419315814972,0.975308358669281
218.26634,159.48703,"('DPDK', 1)",0.2052808552980423,0.9753040671348572
209.71397,160.0349,"('DPDK', 1)",0.20526732504367828,0.975295901298523
242.821,159.2354,"('DPDK', 1)",0.205316960811615,0.9753177165985107
234.8087,160.52933,"('DPDK', 1)",0.20530559122562408,0.9753196835517883
250.99388,161.98045,"('DPDK', 1)",0.20532816648483276,0.9752705693244934
251.5332,164.74489,"('DPDK', 1)",0.20532889664173126,0.9752720594406128
270.57608,167.86038,"('DPDK', 1)",0.2053534984588623,0.975172221660614
323.4708,172.39241,"('DPDK', 1)",0.20540781319141388,0.9748014211654663
