group,config,seed,run_dir,eval_csv,steps,switch_dpdk_to_oai,switch_oai_to_dpdk,scale_up,scale_down,cooldown_blocked,avg_sec,total_power,violation_rate,avg_qos,qos_threshold
C1_cooldown_instances,cd0_k2,seed_456,../experiments/results/C1_cooldown_instances/cd0_k2/seed_456,../experiments/results/C1_cooldown_instances/cd0_k2/seed_456/eval/evaluation_results_MlpPolicy_20260225-212953.csv,721,18,18,5,5,0,0.007183668742536928,481.12177062034607,0.009708737864077669,0.9518745453942996,0.9
C1_cooldown_instances,cd2_k2,seed_456,../experiments/results/C1_cooldown_instances/cd2_k2/seed_456,../experiments/results/C1_cooldown_instances/cd2_k2/seed_456/eval/evaluation_results_MlpPolicy_20260225-213002.csv,721,8,9,7,0,5,0.0074453010897431934,485.71795159578323,0.0013869625520110957,0.9566549325617606,0.9
C1_cooldown_instances,cd4_k1,seed_456,../experiments/results/C1_cooldown_instances/cd4_k1/seed_456,../experiments/results/C1_cooldown_instances/cd4_k1/seed_456/eval/evaluation_results_MlpPolicy_20260225-213011.csv,721,10,10,0,0,3,0.007489892925702802,493.29047280550003,0.0013869625520110957,0.9539193759017447,0.9
C1_cooldown_instances,cd4_k2,seed_456,../experiments/results/C1_cooldown_instances/cd4_k2/seed_456,../experiments/results/C1_cooldown_instances/cd4_k2/seed_456/eval/evaluation_results_MlpPolicy_20260225-213020.csv,721,8,9,7,0,3,0.0073498766556066505,483.16003465652466,0.0013869625520110957,0.9546646870951712,0.9
C1_cooldown_instances,cd8_k2,seed_456,../experiments/results/C1_cooldown_instances/cd8_k2/seed_456,../experiments/results/C1_cooldown_instances/cd8_k2/seed_456/eval/evaluation_results_MlpPolicy_20260225-213029.csv,721,9,9,13,9,90,0.007324108682461705,486.1692470908165,0.004160887656033287,0.9519982189146722,0.9
