group,config,seed,run_dir,eval_csv,steps,switch_dpdk_to_oai,switch_oai_to_dpdk,scale_up,scale_down,cooldown_blocked,avg_sec,total_power,violation_rate,avg_qos,qos_threshold,instances
C1_cooldown_instances,cd4_k1,seed_456,../experiments/results/C1_cooldown_instances/cd4_k1/seed_456,../experiments/results/C1_cooldown_instances/cd4_k1/seed_456/eval/evaluation_results_MlpPolicy_20260225-213011.csv,721,10,10,0,0,3,0.007489892925702802,493.29047280550003,0.0013869625520110957,0.9539193759017447,0.9,1.0
C1_cooldown_instances,cd4_k2,seed_456,../experiments/results/C1_cooldown_instances/cd4_k2/seed_456,../experiments/results/C1_cooldown_instances/cd4_k2/seed_456/eval/evaluation_results_MlpPolicy_20260225-213020.csv,721,8,9,7,0,3,0.0073498766556066505,483.16003465652466,0.0013869625520110957,0.9546646870951712,0.9,2.0
