timestamp,Traffic_bps,Traffic_bps_scaled,Traffic_Mbps_scaled,Traffic_Predicted_Mbps,Traffic_Prediction_Uncertainty
2019-04-01 00:00:00,875583787,169500681.65324423,169.5006816532442,,
2019-04-01 00:15:00,840520789,162712979.37957668,162.7129793795767,,
2019-04-01 00:30:00,816378806,158039431.70119664,158.03943170119663,,
2019-04-01 00:45:00,699909180,135492553.50175095,135.49255350175093,,
2019-04-01 01:00:00,873730830,169141975.29157177,169.14197529157175,,
2019-04-01 01:15:00,682957577,132210962.058104,132.210962058104,,
2019-04-01 01:30:00,524048257,101448357.1983894,101.44835719838942,,
2019-04-01 01:45:00,523886167,101416978.85870668,101.41697885870668,,
2019-04-01 02:00:00,485716037,94027779.61832269,94.02777961832268,,
2019-04-01 02:15:00,456010253,88277158.4764033,88.2771584764033,,
2019-04-01 02:30:00,500325889,96856041.07041946,96.85604107041948,,
2019-04-01 02:45:00,433746040,83967120.60680874,83.96712060680873,,
2019-04-01 03:00:00,364708267,70602380.69606169,70.60238069606169,,
2019-04-01 03:15:00,262902693,50894256.30487788,50.89425630487788,,
2019-04-01 03:30:00,251278334,48643944.22334316,48.64394422334316,,
2019-04-01 03:45:00,259855479,50304358.61854336,50.30435861854336,,
2019-04-01 04:00:00,254620893,49291016.53941173,49.29101653941173,,
2019-04-01 04:15:00,241170303,46687171.87315787,46.687171873157865,,
2019-04-01 04:30:00,214411588,41507061.75690592,41.50706175690592,,
2019-04-01 04:45:00,202870838,39272935.19947838,39.27293519947838,,
2019-04-01 05:00:00,206848385,40042932.243528046,40.04293224352804,,
2019-04-01 05:15:00,185207006,35853466.25879962,35.85346625879962,,
2019-04-01 05:30:00,135900889,26308496.87350581,26.308496873505813,,
2019-04-01 05:45:00,142793548,27642818.518389545,27.642818518389547,,
2019-04-01 06:00:00,152436483,29509554.837523703,29.5095548375237,,
2019-04-01 06:15:00,172487370,33391123.98568813,33.39112398568813,,
2019-04-01 06:30:00,237331176,45943970.99036974,45.943970990369735,,
2019-04-01 06:45:00,243750146,47186593.12050258,47.186593120502586,,
2019-04-01 07:00:00,571822916,110696857.89755929,110.69685789755928,,
2019-04-01 07:15:00,456441652,88360671.2431427,88.36067124314269,,
2019-04-01 07:30:00,556224249,107677175.796728,107.677175796728,,
2019-04-01 07:45:00,517321943,100146237.60122314,100.14623760122312,,
2019-04-01 08:00:00,564316362,109243694.83223304,109.24369483223305,,
2019-04-01 08:15:00,541006006,104731138.42102142,104.7311384210214,,
2019-04-01 08:30:00,472025826,91377547.7034223,91.3775477034223,,
2019-04-01 08:45:00,567874482,109932496.72002316,109.93249672002317,,
2019-04-01 09:00:00,546481045,105791028.81227428,105.79102881227428,,
2019-04-01 09:15:00,441381899,85445315.29785326,85.44531529785326,,
2019-04-01 09:30:00,350990456,67946805.81012519,67.94680581012518,,
2019-04-01 09:45:00,326660504,63236869.98237247,63.23686998237247,,
2019-04-01 10:00:00,448925812,86905710.53908306,86.90571053908306,,
2019-04-01 10:15:00,436075632,84418096.7873144,84.4180967873144,,
2019-04-01 10:30:00,633177368,122574215.14293876,122.57421514293875,,
2019-04-01 10:45:00,595176533,115217789.02869818,115.21778902869818,,
2019-04-01 11:00:00,447367128,86603971.28305227,86.60397128305226,,
2019-04-01 11:15:00,507224347,98191485.31997848,98.1914853199785,,
2019-04-01 11:30:00,440249765,85226150.11049831,85.22615011049831,,
2019-04-01 11:45:00,560708778,108545317.4111338,108.5453174111338,,
2019-04-01 12:00:00,737156135,142703039.07234284,142.70303907234285,,
2019-04-01 12:15:00,911005506,176357827.25709453,176.35782725709453,,
2019-04-01 12:30:00,961442609,186121739.59312195,186.121739593122,,
2019-04-01 12:45:00,948780493,183670532.3813872,183.6705323813872,,
2019-04-01 13:00:00,1019569476,197374281.8685164,197.3742818685164,,
2019-04-01 13:15:00,1062550653,205694832.00652248,205.6948320065225,,
2019-04-01 13:30:00,793836285,153675517.32496738,153.6755173249674,,
2019-04-01 13:45:00,815131865,157798041.49660465,157.79804149660464,,
2019-04-01 14:00:00,662723931,128294013.3431429,128.2940133431429,,
2019-04-01 14:15:00,777680943,150548070.78929815,150.54807078929815,,
2019-04-01 14:30:00,813373245,157457597.4486508,157.4575974486508,,
2019-04-01 14:45:00,624267174,120849327.15496296,120.84932715496298,,
2019-04-01 15:00:00,745481874,144314784.8089813,144.3147848089813,,
2019-04-01 15:15:00,755185660,146193301.02414873,146.19330102414872,,
2019-04-01 15:30:00,584743996,113198196.89014173,113.19819689014172,,
2019-04-01 15:45:00,625627608,121112688.0049101,121.1126880049101,,
2019-04-01 16:00:00,676525234,130965751.10363545,130.96575110363543,,
2019-04-01 16:15:00,718629133,139116472.58422786,139.11647258422786,,
2019-04-01 16:30:00,845982838,163770355.08989623,163.77035508989624,,
2019-04-01 16:45:00,905073172,175209410.9984519,175.2094109984519,,
2019-04-01 17:00:00,932899231,180596143.8711374,180.5961438711374,,
2019-04-01 17:15:00,894279702,173119947.3176861,173.1199473176861,,
2019-04-01 17:30:00,1137070648,220120852.83609316,220.12085283609312,,
2019-04-01 17:45:00,974589687,188666828.6135384,188.66682861353843,,
2019-04-01 18:00:00,1065173370,206202553.0560484,206.20255305604843,,
2019-04-01 18:15:00,1034439539,200252916.50308695,200.252916503087,,
2019-04-01 18:30:00,951603207,184216970.03157648,184.2169700315765,,
2019-04-01 18:45:00,897974867,173835279.18611553,173.83527918611554,,
2019-04-01 19:00:00,944850122,182909667.9460911,182.90966794609108,,
2019-04-01 19:15:00,774978030,150024824.92436597,150.02482492436596,,
2019-04-01 19:30:00,923623789,178800549.01776317,178.80054901776316,,
2019-04-01 19:45:00,860677618,166615057.40591165,166.61505740591164,,
2019-04-01 20:00:00,1202435283,232774524.99518657,232.77452499518657,,
2019-04-01 20:15:00,1275256260,246871639.8840387,246.8716398840387,,
2019-04-01 20:30:00,1008964124,195321235.1814235,195.32123518142348,,
2019-04-01 20:45:00,1122212576,217244539.49013463,217.24453949013463,,
