mode,target,split_name,n_samples,rmse,mape,r2,mae
DPDK,QoS score,holdout_test_testsize0.2_rs42_shuffleTrue,919,0.08465631869758823,5.569545883264583,0.1528559382350405,0.04223077749920618
DPDK,attributed power,holdout_test_testsize0.2_rs42_shuffleTrue,919,0.0038616898867258435,0.3789063690059071,0.23929525464263213,0.0031096417704137027
USR,QoS score,holdout_test_testsize0.2_rs42_shuffleTrue,913,0.07847493308455071,186.4090624410788,0.9068166054474999,0.043054921599462025
USR,attributed power,holdout_test_testsize0.2_rs42_shuffleTrue,913,0.30383651097557524,479.4416643036053,0.960467433389988,0.12173619023539525
