timesteps,elapsed_s,cpu_pct,cpu_freq_mhz,ram_gb,ram_pct,gpu_power_w,gpu_mem_gb,gpu_util_pct,gpu_temp_c,cumulative_energy_wh
1000,0.23959994316101074,3.9,4049.991999999999,9.694828033447266,3.9,,,,,0.0
2000,2.1777665615081787,3.7,4049.991999999999,9.704627990722656,3.9,,,,,0.0
3000,2.4195146560668945,3.1,4049.991999999999,9.704524993896484,3.9,,,,,0.0
4000,4.363915681838989,3.4,4049.991999999999,9.7242431640625,3.9,,,,,0.0
5000,5.952268362045288,3.3,4049.991999999999,9.711368560791016,3.9,,,,,0.0
6000,7.93152642250061,3.4,4049.991999999999,9.709457397460938,3.9,,,,,0.0
7000,8.175989866256714,3.3,4049.991999999999,9.70913314819336,3.9,,,,,0.0
8000,10.15263843536377,3.3,4049.991999999999,9.703731536865234,3.9,,,,,0.0
9000,11.698493719100952,3.3,4049.991999999999,9.695236206054688,3.9,,,,,0.0
10000,13.643510341644287,3.4,4049.991999999999,9.710819244384766,3.9,,,,,0.0
11000,13.886542081832886,3.5,4049.991999999999,9.710102081298828,3.9,,,,,0.0
12000,15.85933518409729,3.4,4049.991999999999,9.709793090820312,3.9,,,,,0.0
13000,17.515228509902954,3.3,4049.991999999999,9.70855712890625,3.9,,,,,0.0
14000,19.489614486694336,3.4,4049.991999999999,9.69217300415039,3.9,,,,,0.0
15000,19.736077070236206,3.2,4049.991999999999,9.689571380615234,3.8,,,,,0.0
16000,21.72661590576172,3.4,4049.991999999999,9.695194244384766,3.9,,,,,0.0
17000,23.379190921783447,3.4,4049.991999999999,9.701606750488281,3.9,,,,,0.0
18000,25.36146068572998,3.3,4049.991999999999,9.71200180053711,3.9,,,,,0.0
19000,25.606836557388306,3.1,4049.991999999999,9.708152770996094,3.9,,,,,0.0
20000,27.586350679397583,3.4,4049.991999999999,9.712173461914062,3.9,,,,,0.0
21000,29.24759316444397,3.4,4049.991999999999,9.708560943603516,3.9,,,,,0.0
22000,31.22957444190979,3.3,4049.991999999999,9.698009490966797,3.9,,,,,0.0
23000,31.474628925323486,3.2,4049.991999999999,9.698009490966797,3.9,,,,,0.0
24000,33.46316838264465,3.4,4049.991999999999,9.694892883300781,3.9,,,,,0.0
25000,35.12847900390625,3.3,4049.991999999999,9.718704223632812,3.9,,,,,0.0
26000,37.11228322982788,3.3,4049.991999999999,9.719451904296875,3.9,,,,,0.0
27000,37.35812187194824,3.2,4049.991999999999,9.717300415039062,3.9,,,,,0.0
28000,39.34478282928467,3.3,4049.991999999999,9.715137481689453,3.9,,,,,0.0
29000,41.00694561004639,3.3,4049.991999999999,9.732681274414062,3.9,,,,,0.0
30000,42.99028301239014,3.4,4049.991999999999,9.733112335205078,3.9,,,,,0.0
31000,43.23618412017822,3.2,4049.991999999999,9.733112335205078,3.9,,,,,0.0
32000,45.21889328956604,3.3,4049.991999999999,9.728317260742188,3.9,,,,,0.0
33000,46.88693022727966,3.3,4049.991999999999,9.70669174194336,3.9,,,,,0.0
34000,48.87263488769531,3.3,4049.991999999999,9.707366943359375,3.9,,,,,0.0
35000,49.1184618473053,3.4,4049.991999999999,9.70754623413086,3.9,,,,,0.0
36000,51.10317087173462,3.3,4049.991999999999,9.701671600341797,3.9,,,,,0.0
37000,52.76517939567566,3.3,4049.991999999999,9.702217102050781,3.9,,,,,0.0
38000,54.73709440231323,3.3,4049.991999999999,9.69326400756836,3.9,,,,,0.0
39000,54.98241710662842,3.8,4049.991999999999,9.692089080810547,3.9,,,,,0.0
40000,56.96541976928711,3.4,4049.991999999999,9.704875946044922,3.9,,,,,0.0
41000,58.62932229042053,3.3,4049.991999999999,9.703258514404297,3.9,,,,,0.0
42000,60.61380076408386,3.3,4049.991999999999,9.710533142089844,3.9,,,,,0.0
