step,actual_traffic_mbps,predicted_traffic_mbps,upf_config,power_w,energy_wh,qos,sec,qos_violation,type_switch,scale_event,cooldown_blocked
64,27.2935,,1xOAI,0.229339,0.057335,0.925278,0.0084027,0,0,0,0
65,25.1009,,1xOAI,0.249147,0.062287,0.923472,0.00992584,0,0,0,0
66,20.3969,,1xOAI,0.203015,0.050754,0.920774,0.00995325,0,0,0,0
67,18.2498,,1xOAI,0.195096,0.048774,0.9211,0.01069031,0,0,0,0
68,21.277,,1xOAI,0.201666,0.050417,0.920667,0.00947812,0,0,0,0
69,20.9883,,1xOAI,0.19839,0.049598,0.920715,0.00945242,0,0,0,0
70,17.5191,,1xOAI,0.188408,0.047102,0.921208,0.01075441,0,0,0,0
71,18.1529,,1xOAI,0.194214,0.048554,0.921114,0.0106988,0,0,0,0
72,20.4949,,1xOAI,0.201877,0.050469,0.920771,0.0098501,0,0,0,0
73,20.9021,,1xOAI,0.197451,0.049363,0.92072,0.00944645,0,0,0,0
74,20.8128,,1xOAI,0.198439,0.04961,0.920721,0.00953451,0,0,0,0
75,28.0136,,1xOAI,0.225223,0.056306,0.92582,0.00803977,0,0,0,0
76,55.6088,,1xOAI,0.51406,0.128515,0.935359,0.00924422,0,0,0,0
77,71.6458,,1xOAI,0.651099,0.162775,0.933539,0.00908776,0,0,0,0
78,105.2021,,1xOAI,0.95885,0.239713,0.92586,0.00911437,0,0,0,0
79,133.9254,,1xOAI,1.222093,0.305523,0.920789,0.00912517,0,0,0,0
80,137.0649,,1xOAI,1.248528,0.312132,0.920577,0.00910903,0,0,0,0
81,124.8973,,1xOAI,1.142318,0.28558,0.921461,0.00914606,0,0,0,0
82,133.3556,,1xOAI,1.217187,0.304297,0.920832,0.00912738,0,0,0,0
83,128.5099,,1xOAI,1.174804,0.293701,0.921124,0.00914174,0,0,0,0
84,167.5113,,1xOAI,1.532855,0.383214,0.918994,0.00915075,0,0,0,0
85,159.7867,,DPDK,0.820696,0.205174,0.975251,0.0051362,0,1,0,0
86,121.4516,,DPDK,0.820229,0.205057,0.975017,0.00675355,0,0,0,1
87,105.9405,,DPDK,0.819944,0.204986,0.974968,0.00773967,0,0,0,1
88,124.8052,,DPDK,0.820288,0.205072,0.975055,0.00657254,0,0,0,1
89,117.0624,,1xOAI,1.070415,0.267604,0.92307,0.00914398,0,1,0,0
90,106.369,,1xOAI,0.970552,0.242638,0.925672,0.00912439,0,0,0,1
91,106.8269,,1xOAI,0.974992,0.243748,0.925592,0.00912684,0,0,0,1
92,111.8515,,1xOAI,1.022744,0.255686,0.924503,0.00914377,0,0,0,0
93,116.1159,,1xOAI,1.061831,0.265458,0.923357,0.00914458,0,0,0,0
94,108.5559,,1xOAI,0.991678,0.247919,0.925301,0.00913518,0,0,0,0
95,124.0964,,DPDK,0.820275,0.205069,0.975045,0.00660999,0,1,0,0
96,117.6789,,DPDK,0.820163,0.205041,0.974999,0.0069695,0,0,0,1
97,136.9277,,DPDK,0.82046,0.205115,0.975163,0.00599192,0,0,0,1
98,148.811,,DPDK,0.820592,0.205148,0.97524,0.00551432,0,0,0,0
99,147.7875,,DPDK,0.820581,0.205145,0.975236,0.00555244,0,0,0,0
100,161.1739,,DPDK,0.820709,0.205177,0.97525,0.00509207,0,0,0,0
101,181.2155,,DPDK,0.820872,0.205218,0.97527,0.00452981,0,0,0,0
102,168.6992,,DPDK,0.820775,0.205194,0.975254,0.00486531,0,0,0,0
