step,actual_traffic_mbps,predicted_traffic_mbps,upf_config,power_w,energy_wh,qos,sec,qos_violation,type_switch,scale_event,cooldown_blocked
43,331.9557,,DPDK,0.821663,0.205416,0.974748,0.00247522,0,0,0,0
44,336.0888,,DPDK,0.821678,0.205419,0.97472,0.00244482,0,0,0,0
45,309.2767,,DPDK,0.821577,0.205394,0.974896,0.00265645,0,0,0,0
46,295.2187,,DPDK,0.82152,0.20538,0.974999,0.00278275,0,0,0,0
47,275.668,,DPDK,0.821437,0.205359,0.975145,0.0029798,0,0,0,0
48,244.0287,,DPDK,0.821275,0.205319,0.975312,0.00336548,0,0,0,0
49,160.5314,,DPDK,0.820703,0.205176,0.975249,0.00511241,0,0,0,0
50,160.7113,,DPDK,0.820705,0.205176,0.975251,0.0051067,0,0,0,0
51,157.0701,,DPDK,0.820672,0.205168,0.975249,0.00522487,0,0,0,0
52,154.244,,DPDK,0.820645,0.205161,0.975244,0.00532044,0,0,0,0
53,136.8111,,DPDK,0.820458,0.205115,0.975161,0.00599701,0,0,0,0
54,126.435,,DPDK,0.820315,0.205079,0.975068,0.00648804,0,0,0,0
55,98.2447,,1xOAI,0.89087,0.222718,0.927124,0.00906787,0,1,0,0
56,83.8802,,1xOAI,0.756682,0.18917,0.930254,0.00902098,0,0,0,0
57,85.4356,,1xOAI,0.772318,0.193079,0.929842,0.00903977,0,0,0,0
58,65.6384,,1xOAI,0.604456,0.151114,0.935159,0.00920889,0,0,0,0
59,62.175,,1xOAI,0.574004,0.143501,0.935861,0.00923207,0,0,0,0
60,61.9114,,1xOAI,0.571408,0.142852,0.935846,0.00922945,0,0,0,0
61,65.1291,,1xOAI,0.600112,0.150028,0.935304,0.00921419,0,0,0,0
62,38.7057,,1xOAI,0.309798,0.077449,0.932818,0.00800393,0,0,0,0
63,40.4218,,1xOAI,0.323489,0.080872,0.933276,0.00800283,0,0,0,0
