step,actual_traffic_mbps,predicted_traffic_mbps,upf_config,power_w,energy_wh,qos,sec,qos_violation,type_switch,scale_event,cooldown_blocked
100,161.1739,126.0571,DPDK,0.820709,0.205177,0.97525,0.00509207,0,0,0,0
101,181.2155,131.0801,DPDK,0.820872,0.205218,0.97527,0.00452981,0,0,0,0
102,168.6992,134.6909,DPDK,0.820775,0.205194,0.975254,0.00486531,0,0,0,0
103,164.7582,136.7121,DPDK,0.820741,0.205185,0.975256,0.00498149,0,0,0,0
104,161.0826,136.4621,DPDK,0.820708,0.205177,0.975251,0.00509495,0,0,0,0
105,147.1553,134.7953,DPDK,0.820575,0.205144,0.975239,0.00557625,0,0,0,0
106,145.3807,132.568,DPDK,0.820556,0.205139,0.975231,0.00564419,0,0,0,0
107,147.3772,131.3185,DPDK,0.820577,0.205144,0.975239,0.00556787,0,0,0,0
108,162.003,129.0768,DPDK,0.820716,0.205179,0.975251,0.00506605,0,0,0,0
109,140.8648,125.0803,DPDK,0.820506,0.205127,0.975194,0.00582478,0,0,0,0
110,121.1671,121.4977,DPDK,0.820224,0.205056,0.975017,0.00676936,0,0,0,0
111,133.983,119.3564,DPDK,0.820422,0.205106,0.975138,0.00612333,0,0,0,0
112,145.6321,119.6118,DPDK,0.820558,0.20514,0.975232,0.00563446,0,0,0,0
113,163.6269,120.6873,DPDK,0.820731,0.205183,0.975252,0.00501587,0,0,0,0
114,157.1475,122.3111,DPDK,0.820672,0.205168,0.97525,0.00522231,0,0,0,0
115,159.4329,124.5941,DPDK,0.820693,0.205173,0.975252,0.00514758,0,0,0,0
116,166.5311,127.3437,DPDK,0.820756,0.205189,0.975256,0.00492855,0,0,0,0
117,171.6695,131.6409,DPDK,0.820798,0.2052,0.97526,0.00478127,0,0,0,0
118,192.5944,137.0319,DPDK,0.820954,0.205239,0.975279,0.00426261,0,0,0,0
119,202.501,142.6648,DPDK,0.821022,0.205255,0.97529,0.00405441,0,0,0,0
120,205.9639,147.4532,DPDK,0.821045,0.205261,0.975293,0.00398635,0,0,0,0
121,202.4733,150.6011,DPDK,0.821022,0.205255,0.97529,0.00405496,0,0,0,0
122,195.68,152.7961,DPDK,0.820976,0.205244,0.975281,0.0041955,0,0,0,0
123,200.4611,153.9137,DPDK,0.821008,0.205252,0.97529,0.0040956,0,0,0,0
124,198.6111,154.3709,DPDK,0.820996,0.205249,0.975284,0.00413368,0,0,0,0
125,200.2719,152.2626,DPDK,0.821007,0.205252,0.97529,0.00409946,0,0,0,0
126,174.3458,148.7142,DPDK,0.820819,0.205205,0.975258,0.004708,0,0,0,0
127,171.1905,143.756,DPDK,0.820795,0.205199,0.975256,0.00479463,0,0,0,0
128,159.2528,140.5792,DPDK,0.820692,0.205173,0.975249,0.00515339,0,0,0,0
129,184.7967,139.5735,DPDK,0.820898,0.205225,0.975273,0.00444217,0,0,0,0
130,196.5394,139.6081,DPDK,0.820982,0.205245,0.975285,0.00417719,0,0,0,0
