step,actual_traffic_mbps,predicted_traffic_mbps,upf_config,power_w,energy_wh,qos,sec,qos_violation,type_switch,scale_event,cooldown_blocked
58,65.6384,51.153,2xOAI,0.51429,0.128573,0.92917,0.00783521,0,0,0,0
59,62.175,46.5368,2xOAI,0.464966,0.116242,0.927993,0.00747834,0,0,0,0
60,61.9114,43.8142,2xOAI,0.462689,0.115672,0.927904,0.00747341,0,0,0,0
61,65.1291,41.0007,2xOAI,0.509318,0.12733,0.928995,0.00782013,0,0,0,0
62,38.7057,38.7899,2xOAI,0.409508,0.102377,0.920909,0.01058004,0,0,0,0
63,40.4218,36.7123,2xOAI,0.410024,0.102506,0.920813,0.01014362,0,0,0,0
64,30.9273,35.0657,1xOAI,0.231116,0.057779,0.927885,0.00747287,0,0,1,0
65,30.0752,33.7191,1xOAI,0.228101,0.057025,0.927277,0.00758435,0,0,0,0
66,24.1078,32.9249,1xOAI,0.236029,0.059007,0.922559,0.00979058,0,0,0,0
67,24.7302,32.5337,1xOAI,0.247835,0.061959,0.923136,0.01002154,0,0,0,0
68,21.1243,32.7354,1xOAI,0.199914,0.049979,0.920701,0.00946371,0,0,0,0
69,23.1005,34.1027,1xOAI,0.221649,0.055412,0.921584,0.00959499,0,0,0,0
70,32.1962,37.1336,1xOAI,0.248607,0.062152,0.928749,0.00772163,0,0,0,0
71,42.0981,40.8213,1xOAI,0.346093,0.086523,0.933529,0.00822111,0,0,0,0
72,39.2225,43.7908,1xOAI,0.310146,0.077536,0.933081,0.00790734,0,0,0,0
73,27.1649,46.8194,1xOAI,0.230746,0.057686,0.925172,0.00849427,0,0,0,0
74,34.4753,49.8911,1xOAI,0.281959,0.07049,0.930246,0.00817858,0,0,0,0
75,25.9351,53.1253,1xOAI,0.244143,0.061036,0.924206,0.00941365,0,0,0,0
76,29.5807,57.1591,1xOAI,0.227365,0.056841,0.926935,0.00768626,0,0,0,0
77,47.9984,62.7403,1xOAI,0.428393,0.107098,0.934444,0.00892515,0,0,0,0
78,70.4939,69.4256,1xOAI,0.642528,0.160632,0.933848,0.00911466,0,0,0,0
79,90.0655,75.5083,2xOAI,0.776415,0.194104,0.933991,0.00862056,0,0,1,0
80,83.1271,82.0403,2xOAI,0.678241,0.16956,0.933439,0.00815908,0,0,0,1
81,97.0232,87.4257,2xOAI,0.870012,0.217503,0.934523,0.00896705,0,0,0,1
82,80.4964,92.353,2xOAI,0.641932,0.160483,0.933246,0.00797466,0,0,0,1
83,97.2268,96.1264,DPDK,0.819766,0.204941,0.974881,0.00843147,0,1,0,0
84,92.727,99.481,DPDK,0.819677,0.204919,0.974833,0.00883969,0,0,0,1
85,101.9575,103.4204,DPDK,0.819864,0.204966,0.97493,0.00804124,0,0,0,0
86,119.3082,105.044,DPDK,0.820192,0.205048,0.974998,0.00687456,0,0,0,0
87,88.7113,103.7476,DPDK,0.819629,0.204907,0.974786,0.00923929,0,0,0,0
88,69.2165,101.9006,DPDK,0.819405,0.204851,0.974223,0.01183829,0,0,0,0
89,83.4569,99.5234,DPDK,0.819574,0.204893,0.97472,0.00982032,0,0,0,0
90,78.5698,97.7948,DPDK,0.819519,0.20488,0.974647,0.01043046,0,0,0,0
91,88.6324,95.6532,DPDK,0.819628,0.204907,0.974785,0.00924751,0,0,0,0
92,75.1291,93.5729,DPDK,0.819479,0.20487,0.974497,0.01090761,0,0,0,0
93,75.8048,92.12,DPDK,0.819487,0.204872,0.974527,0.01081048,0,0,0,0
94,81.2284,92.1817,DPDK,0.819549,0.204887,0.974694,0.01008945,0,0,0,0
95,95.5749,93.3427,DPDK,0.81973,0.204933,0.974863,0.00857683,0,0,0,0
96,99.0585,94.5484,DPDK,0.819804,0.204951,0.974898,0.00827596,0,0,0,0
97,92.4367,99.3569,DPDK,0.819673,0.204918,0.974826,0.00886739,0,0,0,0
98,144.7699,107.7305,DPDK,0.820549,0.205137,0.975228,0.00566795,0,0,0,0
99,173.0397,118.008,DPDK,0.820809,0.205202,0.975261,0.00474347,0,0,0,0
100,183.6432,129.7704,DPDK,0.82089,0.205222,0.97527,0.00447003,0,0,0,0
101,204.849,144.011,DPDK,0.821038,0.205259,0.975294,0.00400801,0,0,0,0
102,243.3266,154.8537,DPDK,0.821271,0.205318,0.975313,0.00337518,0,0,0,0
103,205.1044,160.5377,DPDK,0.821039,0.20526,0.975292,0.00400303,0,0,0,0
104,181.0352,159.9618,DPDK,0.82087,0.205218,0.975267,0.00453431,0,0,0,0
105,148.8819,155.5234,DPDK,0.820593,0.205148,0.975239,0.0055117,0,0,0,0
106,144.5472,150.182,DPDK,0.820547,0.205137,0.975228,0.00567667,0,0,0,0
107,156.4461,143.2411,DPDK,0.820666,0.205166,0.975245,0.00524568,0,0,0,0
108,136.0037,135.777,DPDK,0.820448,0.205112,0.975158,0.00603254,0,0,0,0
109,130.8318,127.0839,DPDK,0.820382,0.205095,0.975111,0.00627051,0,0,0,0
110,107.8393,118.2072,DPDK,0.819981,0.204995,0.974989,0.00760373,0,0,0,0
111,101.2424,110.814,DPDK,0.81985,0.204962,0.974925,0.00809789,0,0,0,0
112,109.5398,104.7683,DPDK,0.820014,0.205003,0.974996,0.00748599,0,0,0,0
113,105.4792,100.8654,DPDK,0.819935,0.204984,0.974964,0.00777343,0,0,0,0
114,114.6248,98.4524,DPDK,0.820108,0.205027,0.974997,0.00715472,0,0,0,0
115,111.964,98.254,DPDK,0.820059,0.205015,0.974996,0.00732432,0,0,0,0
116,126.2999,98.8825,DPDK,0.820313,0.205078,0.975066,0.00649496,0,0,0,0
117,119.5982,102.4637,DPDK,0.820197,0.205049,0.974996,0.00685793,0,0,0,0
118,153.5352,108.4196,DPDK,0.820639,0.20516,0.975244,0.00534496,0,0,0,0
119,168.0965,113.0033,DPDK,0.820769,0.205192,0.975255,0.00488273,0,0,0,0
120,139.9559,119.081,DPDK,0.820496,0.205124,0.975189,0.00586253,0,0,0,0
121,176.5917,124.0304,DPDK,0.820837,0.205209,0.975262,0.00464822,0,0,0,0
122,160.7472,131.9407,DPDK,0.820705,0.205176,0.97525,0.00510556,0,0,0,0
123,214.6936,140.5329,DPDK,0.821101,0.205275,0.975301,0.00382452,0,0,0,0
124,215.1798,144.5495,DPDK,0.821104,0.205276,0.975301,0.0038159,0,0,0,0
125,164.7841,146.4316,DPDK,0.820741,0.205185,0.975255,0.0049807,0,0,0,0
126,175.8148,147.7864,DPDK,0.820831,0.205208,0.975258,0.00466872,0,0,0,0
127,189.4203,147.0128,DPDK,0.820932,0.205233,0.975276,0.00433391,0,0,0,0
128,169.7101,146.5374,DPDK,0.820783,0.205196,0.975257,0.00483638,0,0,0,0
129,187.6143,146.164,DPDK,0.820919,0.20523,0.975278,0.00437556,0,0,0,0
130,187.9461,144.0646,DPDK,0.820921,0.20523,0.975276,0.00436785,0,0,0,0
131,165.2744,145.267,DPDK,0.820745,0.205186,0.975252,0.00496595,0,0,0,0
132,216.0363,149.1971,DPDK,0.82111,0.205277,0.975303,0.00380079,0,0,0,0
133,231.2189,153.5985,DPDK,0.821202,0.2053,0.975317,0.00355162,0,0,0,0
134,224.0286,162.0738,DPDK,0.821159,0.20529,0.97531,0.00366542,0,0,0,0
135,276.9538,173.5078,DPDK,0.821442,0.205361,0.975135,0.00296599,0,0,0,0
136,299.0991,184.4448,DPDK,0.821536,0.205384,0.974973,0.0027467,0,0,0,0
137,290.775,196.214,DPDK,0.821502,0.205375,0.975031,0.00282521,0,0,0,0
138,319.2891,205.6178,DPDK,0.821615,0.205404,0.97483,0.00257326,0,0,0,0
139,306.7967,214.4237,DPDK,0.821567,0.205392,0.974916,0.00267789,0,0,0,0
140,328.6642,215.9027,DPDK,0.821651,0.205413,0.974769,0.00249997,0,0,0,0
141,265.4052,211.072,DPDK,0.821388,0.205347,0.975201,0.00309485,0,0,0,0
142,239.5913,203.416,DPDK,0.82125,0.205312,0.975322,0.00342771,0,0,0,0
143,241.273,190.9592,DPDK,0.821259,0.205315,0.975323,0.00340386,0,0,0,0
144,194.8154,174.2008,DPDK,0.82097,0.205242,0.97528,0.00421409,0,0,0,0
145,155.0422,157.7958,DPDK,0.820653,0.205163,0.975243,0.00529309,0,0,0,0
146,162.7119,142.267,DPDK,0.820723,0.205181,0.975251,0.00504402,0,0,0,0
