t,rule_power,ff_power,ff_lower_or_equal,ff_vs_rule
0,0.8207671642303463,1.4450740814208984,False,FF > Rule
1,0.820699155330658,1.590859055519104,False,FF > Rule
2,0.8206891417503356,1.5139893293380735,False,FF > Rule
3,0.8208350539207456,1.4400763511657717,False,FF > Rule
4,0.8206606507301328,0.8206891417503357,False,FF > Rule
5,0.8206168413162231,0.8208350539207458,False,FF > Rule
6,0.8209586143493652,0.8206606507301331,True,FF <= Rule
7,0.8207944631576536,0.8206168413162231,True,FF <= Rule
8,0.8213800191879272,0.8209586143493652,True,FF <= Rule
9,0.8210428357124328,0.8207944631576538,True,FF <= Rule
10,0.8210783600807188,0.8213800191879272,False,FF > Rule
11,0.8211866021156308,0.8210428357124329,True,FF <= Rule
12,0.8214457631111144,0.821078360080719,True,FF <= Rule
13,0.8211996555328368,0.8211866021156311,True,FF <= Rule
14,0.8211185336112976,0.8214457631111145,False,FF > Rule
15,0.8209959864616392,0.8211996555328369,False,FF > Rule
16,0.8211719989776608,0.8211184740066528,True,FF <= Rule
17,0.8212147951126096,0.8209959864616394,True,FF <= Rule
18,0.8209925293922424,0.8211719989776611,False,FF > Rule
19,0.8209382891654968,0.8212147951126099,False,FF > Rule
20,0.8210228681564328,0.8209925293922424,True,FF <= Rule
21,0.8210377693176268,0.8209382891654968,True,FF <= Rule
22,0.8211585879325864,0.8210228681564331,True,FF <= Rule
23,0.8210473060607908,0.821037769317627,True,FF <= Rule
24,0.8211355209350584,0.8211585879325867,False,FF > Rule
25,0.8211109638214108,0.821047306060791,True,FF <= Rule
26,0.8211945891380308,0.8211355209350586,True,FF <= Rule
27,0.8212161064147948,0.8211109638214111,True,FF <= Rule
28,0.8211367726325988,0.821194589138031,False,FF > Rule
29,0.8211234211921692,0.8212161064147949,False,FF > Rule
30,0.8210693001747128,0.8211367726325989,False,FF > Rule
31,0.82126784324646,0.8211234211921692,True,FF <= Rule
32,0.821222364902496,0.8210693001747131,True,FF <= Rule
33,0.8213126659393308,0.82126784324646,True,FF <= Rule
34,0.8213155865669248,0.8212223649024963,True,FF <= Rule
35,0.8214139938354492,0.821312665939331,True,FF <= Rule
36,0.8216312527656552,0.821315586566925,True,FF <= Rule
37,0.8217756152153012,0.8214139938354492,True,FF <= Rule
38,0.8216659426689148,0.8216312527656555,True,FF <= Rule
39,0.821780741214752,0.8217755556106567,True,FF <= Rule
40,0.8215503692626952,0.8216659426689148,False,FF > Rule
41,0.8216627836227416,0.8217807412147522,False,FF > Rule
42,0.8216778635978697,0.8215503692626953,True,FF <= Rule
