t,power,model,source_file
48,0.8207030296325684,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
49,0.8207046985626221,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
50,0.8206716179847717,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
51,0.8206453919410706,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
52,0.8204581141471863,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
53,0.8203153610229492,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
54,0.819787323474884,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
55,0.8195781707763672,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
56,0.7723179459571838,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
57,0.60445636510849,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
58,0.5740041136741638,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
59,0.5714084506034851,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
60,0.6001120209693909,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
61,0.3097977638244629,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
62,0.3234890699386596,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
63,0.2311159372329712,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
64,0.2281011343002319,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
65,0.2360293865203857,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
66,0.2478348016738891,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
67,0.1999144554138183,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
68,0.2216492891311645,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
69,0.2486070394515991,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
70,0.3460928201675415,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
71,0.310145616531372,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
72,0.2307456731796264,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
73,0.281959056854248,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
74,0.2441434860229492,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
75,0.2273650169372558,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
76,0.4283927083015442,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
77,0.5857419967651367,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
78,0.7764146327972412,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
79,0.6782410144805908,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
80,0.8700119256973267,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
81,0.6419320106506348,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
82,0.8725898265838623,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
83,0.8130359649658203,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
84,0.9300614595413208,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
85,1.102103352546692,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
86,0.7573063373565674,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
87,0.5685789585113525,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
88,0.6824901103973389,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
89,0.6203701496124268,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
90,0.7561841011047363,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
91,0.6181678771972656,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
92,0.618549108505249,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
93,0.6525540351867676,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
94,0.8513120412826538,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
95,0.895841121673584,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
96,0.8091108798980713,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
97,0.8205490708351135,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
98,0.8208091855049133,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
99,0.8208896517753601,Feed-forward PPO,../finalModels/mlp_hybrid/seed_456/eval/timeline_MlpPolicy_20260225-153005.csv
