cooldown,E_tot,v,n_sw,n_sc,n_reconf
0.0,120.28044265508652,0.0097087378640776,36,0,36
2.0,121.4294878989458,0.001386962552011,17,0,17
4.0,120.79000866413118,0.001386962552011,17,0,17
8.0,121.54231177270412,0.0041608876560332,18,0,18
