Actual_Traffic,Predicted_Traffic,UPF_Config,Energy_Wh_Expected,Energy_Wh_Actual,Power_W_Expected,Power_W_Actual,QoS_Score_Expected,QoS_Score_Actual
174.13461,136.15974,"('DPDK', 1)",0.20511364936828613,0.20520442724227905,0.8204545974731445,0.8208177089691162,0.9751572012901306,0.9752587080001831
169.18993,139.4973,"('DPDK', 1)",0.20512202382087708,0.20519469678401947,0.8204880952835083,0.8207787871360779,0.9751809239387512,0.9752562642097473
155.09407,142.10104,"('DPDK', 1)",0.20512887835502625,0.20516332983970642,0.820515513420105,0.8206533193588257,0.9752029776573181,0.9752429723739624
156.90004,142.85281,"('DPDK', 1)",0.2051328718662262,0.2051675021648407,0.8205314874649048,0.8206700086593628,0.9752134084701538,0.9752487540245056
170.86525,142.46196,"('DPDK', 1)",0.2051328718662262,0.2051980197429657,0.8205314874649048,0.8207920789718628,0.9752134084701538,0.9752568006515503
143.41135,142.37999,"('DPDK', 1)",0.20512887835502625,0.2051335722208023,0.820515513420105,0.8205342888832092,0.9752029776573181,0.9752151370048523
148.1124,140.24307,"('DPDK', 1)",0.20512498915195465,0.2051462084054947,0.8204999566078186,0.8205848336219788,0.9751924872398376,0.9752371311187744
171.96248,137.52435,"('DPDK', 1)",0.20511697232723236,0.2052001804113388,0.8204678893089294,0.8208007216453552,0.9751678705215454,0.9752585291862488
181.10666,136.47824,"('DPDK', 1)",0.20511364936828613,0.20521770417690277,0.8204545974731445,0.8208708167076111,0.9751572012901306,0.9752679467201233
160.50961,137.08556,"('DPDK', 1)",0.20511531829833984,0.2051757127046585,0.8204612731933594,0.820702850818634,0.9751622676849365,0.9752486944198608
167.8029,136.91997,"('DPDK', 1)",0.20511488616466522,0.2051917463541031,0.8204595446586609,0.8207669854164124,0.9751628041267395,0.9752587080001831
188.35689,136.87373,"('DPDK', 1)",0.20511488616466522,0.2052309811115265,0.8204595446586609,0.820923924446106,0.9751628041267395,0.975272536277771
181.02374,138.39468,"('DPDK', 1)",0.20511938631534576,0.20521755516529083,0.8204775452613831,0.8208702206611633,0.9751762747764587,0.9752660393714905
183.36209,139.94482,"('DPDK', 1)",0.20512370765209198,0.20522189140319824,0.8204948306083679,0.820887565612793,0.9751873016357422,0.9752694964408875
184.8817,141.49731,"('DPDK', 1)",0.20512814819812775,0.2052246779203415,0.820512592792511,0.820898711681366,0.9752001166343689,0.9752688407897949
193.58607,142.90404,"('DPDK', 1)",0.2051328718662262,0.20524024963378906,0.8205314874649048,0.8209609985351562,0.9752134084701538,0.9752817749977112
189.18248,144.67993,"('DPDK', 1)",0.20513591170310974,0.20523245632648468,0.820543646812439,0.8209298253059387,0.9752247929573059,0.9752764701843262
191.07884,146.03345,"('DPDK', 1)",0.20514105260372162,0.20523583889007568,0.8205642104148865,0.8209433555603027,0.9752371311187744,0.975275993347168
183.85799,147.07468,"('DPDK', 1)",0.20514340698719025,0.20522280037403107,0.820573627948761,0.8208912014961243,0.9752399325370789,0.9752705693244934
201.92104,147.18199,"('DPDK', 1)",0.20514366030693054,0.20525451004505157,0.8205746412277222,0.8210180401802063,0.9752385020256042,0.9752902984619141
207.4583,148.13115,"('DPDK', 1)",0.2051462084054947,0.2052636593580246,0.8205848336219788,0.8210546374320984,0.9752371311187744,0.9752923846244812
196.98355,149.76418,"('DPDK', 1)",0.20515015721321106,0.20524613559246063,0.8206006288528442,0.8209845423698425,0.9752406477928162,0.9752832055091858
195.90916,150.69585,"('DPDK', 1)",0.20515315234661102,0.2052442878484726,0.8206126093864441,0.8209771513938904,0.9752410650253296,0.9752835631370544
200.83382,151.02135,"('DPDK', 1)",0.2051541805267334,0.20525267720222473,0.8206167221069336,0.8210107088088989,0.9752424955368042,0.9752858877182007
201.14867,151.28854,"('DPDK', 1)",0.2051541805267334,0.2052532136440277,0.8206167221069336,0.8210128545761108,0.9752424955368042,0.9752891659736633
198.7017,151.43692,"('DPDK', 1)",0.2051549255847931,0.20524907112121582,0.8206197023391724,0.8209962844848633,0.9752442240715027,0.975285530090332
213.82884,151.25836,"('DPDK', 1)",0.2051541805267334,0.20527389645576477,0.8206167221069336,0.8210955858230591,0.9752424955368042,0.9753037691116333
226.50558,152.08916,"('DPDK', 1)",0.20515623688697815,0.20529340207576752,0.8206249475479126,0.8211736083030701,0.9752457737922668,0.9753116965293884
221.52771,154.32916,"('DPDK', 1)",0.20516125857830048,0.20528587698936462,0.8206450343132019,0.8211435079574585,0.9752445220947266,0.975304365158081
198.67822,156.60435,"('DPDK', 1)",0.20516718924045563,0.20524902641773224,0.8206687569618225,0.820996105670929,0.9752463102340698,0.975285530090332
200.20325,156.7636,"('DPDK', 1)",0.20516718924045563,0.20525161921977997,0.8206687569618225,0.8210064768791199,0.9752463102340698,0.975288450717926
196.91734,155.86435,"('DPDK', 1)",0.2051653414964676,0.20524601638317108,0.8206613659858704,0.8209840655326843,0.9752463102340698,0.9752839803695679
194.39964,154.13057,"('DPDK', 1)",0.20516125857830048,0.20524166524410248,0.8206450343132019,0.8209666609764099,0.9752445220947266,0.975278377532959
188.08322,151.8678,"('DPDK', 1)",0.2051553875207901,0.2052304893732071,0.8206215500831604,0.8209219574928284,0.9752429723739624,0.9752774238586426
190.13194,149.06216,"('DPDK', 1)",0.20514804124832153,0.20523415505886078,0.8205921649932861,0.8209366202354431,0.9752398133277893,0.9752776622772217
188.36687,146.3794,"('DPDK', 1)",0.20514126121997833,0.20523099601268768,0.8205650448799133,0.8209239840507507,0.9752362966537476,0.9752727746963501
187.52066,143.95491,"('DPDK', 1)",0.20513585209846497,0.2052294760942459,0.8205434083938599,0.8209179043769836,0.9752249717712402,0.975274920463562
194.24364,141.85309,"('DPDK', 1)",0.20512887835502625,0.205241397023201,0.820515513420105,0.820965588092804,0.9752029776573181,0.9752808809280396
206.07526,140.73128,"('DPDK', 1)",0.20512655377388,0.20526140928268433,0.82050621509552,0.8210456371307373,0.9751935601234436,0.9752939343452454
172.4381,141.22261,"('DPDK', 1)",0.20512814819812775,0.20520111918449402,0.820512592792511,0.8208044767379761,0.9752001166343689,0.9752609729766846
176.41295,139.84027,"('DPDK', 1)",0.20512370765209198,0.20520882308483124,0.8204948306083679,0.820835292339325,0.9751873016357422,0.9752606749534607
202.90471,137.99655,"('DPDK', 1)",0.20511718094348907,0.2052561491727829,0.8204687237739563,0.8210245966911316,0.9751698970794678,0.9752902984619141
189.98721,138.1988,"('DPDK', 1)",0.20511938631534576,0.20523390173912048,0.8204775452613831,0.8209356069564819,0.9751762747764587,0.9752782583236694
192.81056,138.4111,"('DPDK', 1)",0.20511938631534576,0.20523889362812042,0.8204775452613831,0.8209555745124817,0.9751762747764587,0.9752798080444336
178.04118,138.89737,"('DPDK', 1)",0.20512108504772186,0.20521193742752075,0.8204843401908875,0.820847749710083,0.9751774668693542,0.9752660989761353
181.93742,138.31133,"('DPDK', 1)",0.20511938631534576,0.20521925389766693,0.8204775452613831,0.8208770155906677,0.9751762747764587,0.9752692580223083
170.92354,137.53482,"('DPDK', 1)",0.20511697232723236,0.20519813895225525,0.8204678893089294,0.820792555809021,0.9751678705215454,0.9752569198608398
176.11136,135.85484,"('DPDK', 1)",0.20511364936828613,0.20520824193954468,0.8204545974731445,0.8208329677581787,0.9751572012901306,0.975263774394989
163.2879,134.29784,"('DPDK', 1)",0.20510642230510712,0.20518191158771515,0.8204256892204285,0.8207276463508606,0.9751381278038025,0.9752508401870728
136.53802,131.97142,"('DPDK', 1)",0.20509865880012512,0.20511366426944733,0.8203946352005005,0.8204546570777893,0.9751192927360535,0.975156843662262
121.63794,127.44145,"('DPDK', 1)",0.20508313179016113,0.20505815744400024,0.8203325271606445,0.820232629776001,0.9750808477401733,0.975019633769989
110.113106,120.98365,"('DPDK', 1)",0.2050560861825943,0.20500615239143372,0.8202243447303772,0.8200246095657349,0.9750169515609741,0.9749943614006042
101.66067,113.17644,"('DPDK', 1)",0.20502056181430817,0.20496460795402527,0.8200822472572327,0.8198584318161011,0.9749984741210938,0.9749256372451782
91.37187,104.67949,"('DPDK', 1)",0.2049783319234848,0.20491407811641693,0.8199133276939392,0.8196563124656677,0.9749516248703003,0.974816083908081
78.78907,96.41206,"('DPDK', 1)",0.20493584871292114,0.20488041639328003,0.8197433948516846,0.8195216655731201,0.9748702645301819,0.9746540188789368
122.9474,88.19061,"('OAI', 1)",0.1997310072183609,0.2810715436935425,0.7989240288734436,1.12428617477417,0.9291663765907288,0.9216828942298889
64.55603,84.46254,"('OAI', 1)",0.19074325263500214,0.14879371225833893,0.7629730105400085,0.5951748490333557,0.9300904870033264,0.9354721307754517
55.993866,79.287735,"('OAI', 1)",0.17826539278030396,0.12949709594249725,0.7130615711212158,0.517988383769989,0.9314479827880859,0.9353814125061035
42.95378,73.44918,"('OAI', 1)",0.1660986691713333,0.08959928154945374,0.6643946766853333,0.35839712619781494,0.9330742955207825,0.9336532354354858
45.817707,66.86686,"('OAI', 1)",0.15345987677574158,0.09977266192436218,0.6138395071029663,0.39909064769744873,0.9348413348197937,0.9341171383857727
37.191647,61.002174,"('OAI', 1)",0.14060978591442108,0.07719168066978455,0.5624391436576843,0.3087667226791382,0.9357843399047852,0.9318935871124268
32.011784,55.579784,"('OAI', 1)",0.12851500511169434,0.061361163854599,0.5140600204467773,0.245444655418396,0.9353586435317993,0.9286235570907593
38.755184,50.883907,"('OAI', 1)",0.11603696644306183,0.07746294140815735,0.4641478657722473,0.3098517656326294,0.9348577857017517,0.9328591823577881
27.293505,47.87991,"('OAI', 1)",0.10681305825710297,0.05733481049537659,0.42725223302841187,0.22933924198150635,0.9344179034233093,0.9252782464027405
25.100853,45.57573,"('OAI', 1)",0.09888026118278503,0.06228676438331604,0.39552104473114014,0.24914705753326416,0.9340670704841614,0.9234716892242432
20.396902,43.886696,"('OAI', 1)",0.09298637509346008,0.05075386166572571,0.37194550037384033,0.20301544666290283,0.9338037967681885,0.9207737445831299
18.249752,42.6123,"('OAI', 1)",0.08875352144241333,0.048773884773254395,0.3550140857696533,0.19509553909301758,0.9336310029029846,0.9210997819900513
21.27703,41.79238,"('OAI', 1)",0.08534210920333862,0.05041655898094177,0.3413684368133545,0.2016662359237671,0.9334778785705566,0.9206668734550476
20.988283,42.175934,"('OAI', 1)",0.08663216233253479,0.04959753155708313,0.34652864933013916,0.19839012622833252,0.9335278272628784,0.9207150936126709
17.519108,43.299248,"('OAI', 1)",0.0907650887966156,0.04710191488265991,0.3630603551864624,0.18840765953063965,0.933705747127533,0.9212079048156738
18.152882,45.312748,"('OAI', 1)",0.09790286421775818,0.048553526401519775,0.3916114568710327,0.1942141056060791,0.9340248107910156,0.9211135506629944
20.49494,47.814617,"('OAI', 1)",0.10649275779724121,0.050469279289245605,0.42597103118896484,0.20187711715698242,0.9344181418418884,0.9207709431648254
20.902132,50.814613,"('OAI', 1)",0.11583684384822845,0.04936271905899048,0.4633473753929138,0.19745087623596191,0.9348569512367249,0.9207198619842529
20.812761,54.197643,"('OAI', 1)",0.12478139996528625,0.049609869718551636,0.499125599861145,0.19843947887420654,0.9352165460586548,0.9207208752632141
28.013575,57.689594,"('OAI', 1)",0.13332033157348633,0.056305646896362305,0.5332813262939453,0.22522258758544922,0.9355336427688599,0.9258195757865906
55.60881,61.381668,"('OAI', 1)",0.14154252409934998,0.12851500511169434,0.5661700963973999,0.5140600204467773,0.9357978105545044,0.9353586435317993
71.64576,66.08836,"('OAI', 1)",0.15201698243618011,0.16277481615543365,0.6080679297447205,0.6510992646217346,0.9350382089614868,0.9335392713546753
105.2021,71.8281,"('OAI', 1)",0.16316382586956024,0.23971258103847504,0.652655303478241,0.9588503241539001,0.9334758520126343,0.9258602857589722
133.9254,78.804375,"('OAI', 1)",0.17706945538520813,0.3055231273174286,0.7082778215408325,1.2220925092697144,0.9315896034240723,0.9207885265350342
137.06488,87.331055,"('OAI', 1)",0.19769038259983063,0.31213194131851196,0.7907615303993225,1.2485277652740479,0.9293685555458069,0.9205770492553711
124.89731,96.57016,"('DPDK', 1)",0.20493924617767334,0.2050722986459732,0.8197569847106934,0.8202891945838928,0.9748758673667908,0.9750560522079468
133.35559,106.14241,"('DPDK', 1)",0.20498616993427277,0.2051035761833191,0.8199446797370911,0.8204143047332764,0.9749696850776672,0.9751319885253906
128.50989,114.35257,"('DPDK', 1)",0.20502649247646332,0.2050875574350357,0.8201059699058533,0.8203502297401428,0.9749964475631714,0.9750887751579285
167.51134,120.251816,"('DPDK', 1)",0.20505207777023315,0.20519112050533295,0.8202083110809326,0.8207644820213318,0.9750061631202698,0.9752564430236816
159.7867,127.06326,"('DPDK', 1)",0.20508313179016113,0.20517408847808838,0.8203325271606445,0.8206963539123535,0.9750808477401733,0.9752512574195862
121.45159,132.77487,"('DPDK', 1)",0.20510171353816986,0.20505733788013458,0.8204068541526794,0.8202293515205383,0.9751250147819519,0.975016713142395
105.94048,134.22998,"('DPDK', 1)",0.20510642230510712,0.20498605072498322,0.8204256892204285,0.8199442028999329,0.9751381278038025,0.9749679565429688
124.80523,131.8915,"('DPDK', 1)",0.20509865880012512,0.20507191121578217,0.8203946352005005,0.8202876448631287,0.9751192927360535,0.9750548005104065
117.062355,128.93494,"('DPDK', 1)",0.2050887495279312,0.20503801107406616,0.8203549981117249,0.8201520442962646,0.9750922918319702,0.9749963879585266
106.36898,125.37784,"('DPDK', 1)",0.2050745040178299,0.20498815178871155,0.8202980160713196,0.8199526071548462,0.9750624895095825,0.9749734997749329
106.82686,120.9588,"('DPDK', 1)",0.20505429804325104,0.20499038696289062,0.8202171921730042,0.8199615478515625,0.9750104546546936,0.9749777317047119
111.85151,116.525085,"('DPDK', 1)",0.20503558218479156,0.20501430332660675,0.8201423287391663,0.820057213306427,0.9749963283538818,0.9749962091445923
116.11589,112.89061,"('DPDK', 1)",0.20501971244812012,0.2050337791442871,0.8200788497924805,0.8201351165771484,0.9749966263771057,0.9749964475631714
108.55588,110.36871,"('DPDK', 1)",0.20500615239143372,0.20499874651432037,0.8200246095657349,0.8199949860572815,0.9749943614006042,0.9749951958656311
124.09636,108.189316,"('DPDK', 1)",0.20499755442142487,0.20506885647773743,0.8199902176856995,0.8202754259109497,0.9749929904937744,0.9750449061393738
117.678856,107.57553,"('DPDK', 1)",0.20499299466609955,0.20504075288772583,0.8199719786643982,0.8201630115509033,0.9749834537506104,0.974998950958252
136.92772,107.40901,"('DPDK', 1)",0.20499299466609955,0.20511488616466522,0.8199719786643982,0.8204595446586609,0.9749834537506104,0.9751628041267395
148.81104,108.92164,"('DPDK', 1)",0.2050004005432129,0.20514804124832153,0.8200016021728516,0.8205921649932861,0.9749948978424072,0.9752398133277893
147.78749,112.05981,"('DPDK', 1)",0.20501509308815002,0.20514534413814545,0.8200603723526001,0.8205813765525818,0.9749975800514221,0.9752355813980103
161.17392,115.6865,"('DPDK', 1)",0.20503287017345428,0.2051772028207779,0.8201314806938171,0.8207088112831116,0.974997878074646,0.9752500653266907
181.21547,120.15881,"('DPDK', 1)",0.20505207777023315,0.20521791279315948,0.8202083110809326,0.8208716511726379,0.9750061631202698,0.9752700924873352
168.69922,126.05713,"('DPDK', 1)",0.2050783485174179,0.2051936686038971,0.8203133940696716,0.8207746744155884,0.9750697016716003,0.9752540588378906
164.75821,131.08008,"('DPDK', 1)",0.20509682595729828,0.2051851451396942,0.8203873038291931,0.8207405805587769,0.9751116633415222,0.9752557277679443
161.08255,134.69095,"('DPDK', 1)",0.2051071971654892,0.20517699420452118,0.8204287886619568,0.8207079768180847,0.9751403331756592,0.9752511382102966
147.15532,136.71211,"('DPDK', 1)",0.20511366426944733,0.20514366030693054,0.8204546570777893,0.8205746412277222,0.975156843662262,0.9752385020256042
145.38069,136.46208,"('DPDK', 1)",0.20511364936828613,0.2051389068365097,0.8204545974731445,0.8205556273460388,0.9751572012901306,0.9752307534217834
147.3772,134.79532,"('DPDK', 1)",0.2051071971654892,0.2051442563533783,0.8204287886619568,0.8205770254135132,0.9751403331756592,0.9752392768859863
162.00304,132.56801,"('DPDK', 1)",0.20510052144527435,0.20517905056476593,0.8204020857810974,0.8207162022590637,0.9751233458518982,0.9752505421638489
140.86476,131.31851,"('DPDK', 1)",0.20509682595729828,0.20512655377388,0.8203873038291931,0.82050621509552,0.9751116633415222,0.9751935601234436
121.167114,129.07684,"('DPDK', 1)",0.2050887495279312,0.2050560861825943,0.8203549981117249,0.8202243447303772,0.9750922918319702,0.9750169515609741
133.98303,125.08028,"('DPDK', 1)",0.2050735354423523,0.20510558784008026,0.8202941417694092,0.820422351360321,0.9750592112541199,0.9751383066177368
