config,mean_sec_mean,mean_sec_std,mean_sec_str,n_seeds,mean_power_mean,mean_power_std,mean_power_str,total_energy_wh_mean,total_energy_wh_std,total_energy_wh_str,qos_violation_rate_mean,qos_violation_rate_std,qos_violation_rate_str,type_switches_mean,type_switches_std,type_switches_str,total_reward_mean,total_reward_std,total_reward_str,energy_saved_vs_dpdk_pct_mean,energy_saved_vs_dpdk_pct_std,energy_saved_vs_dpdk_pct_str,train_time_s_mean,train_time_s_std,train_time_s_str
k1,0.0108504,0.0019812289872702753,0.0109 ± 0.0020,5,0.7523799999999999,0.0420122244114734,0.752 ± 0.042,135.61128000000002,7.569805617187272,135.61 ± 7.57,0.00056,0.0007668115805072325,0.001 ± 0.001,10.0,4.69041575982343,10 ± 5,-787.34826,140.52292969822756,-787.3 ± 140.5,8.244,5.122590165141069,8.2 ± 5.1,449.512,3.5733205845543696,450 ± 4
k2,0.013127400000000001,0.0008957688317864158,0.0131 ± 0.0009,5,0.80758,0.027548357482797405,0.808 ± 0.028,145.57038,4.968811374161824,145.57 ± 4.97,0.0,0.0,0.000 ± 0.000,2.0,4.47213595499958,2 ± 4,-947.7234000000001,61.890113088036976,-947.7 ± 61.9,1.504,3.3630462381596837,1.5 ± 3.4,449.466,2.1971868377541335,449 ± 2
