config,mean_sec_mean,mean_sec_std,mean_sec_str,n_seeds,mean_power_mean,mean_power_std,mean_power_str,total_energy_wh_mean,total_energy_wh_std,total_energy_wh_str,qos_violation_rate_mean,qos_violation_rate_std,qos_violation_rate_str,type_switches_mean,type_switches_std,type_switches_str,total_reward_mean,total_reward_std,total_reward_str,energy_saved_vs_dpdk_pct_mean,energy_saved_vs_dpdk_pct_std,energy_saved_vs_dpdk_pct_str,train_time_s_mean,train_time_s_std,train_time_s_str
forecast,0.007355,,0.0074 ± nan,1,0.6799,,0.680 ± nan,138.5298,,138.53 ± nan,0.0012,,0.001 ± nan,16.0,,16 ± nan,-607.5562,,-607.6 ± nan,17.08,,17.1 ± nan,473.98,,474 ± nan
history,0.011561,,0.0116 ± nan,1,0.7613,,0.761 ± nan,137.2241,,137.22 ± nan,0.0,,0.000 ± nan,10.0,,10 ± nan,-838.5266,,-838.5 ± nan,7.15,,7.2 ± nan,441.25,,441 ± nan
hybrid,0.007864,,0.0079 ± nan,1,0.6904,,0.690 ± nan,124.4448,,124.44 ± nan,0.0014,,0.001 ± nan,16.0,,16 ± nan,-575.0957,,-575.1 ± nan,15.8,,15.8 ± nan,451.16,,451 ± nan
instant,0.007439,,0.0074 ± nan,1,0.6898,,0.690 ± nan,140.5425,,140.54 ± nan,0.0012,,0.001 ± nan,20.0,,20 ± nan,-616.3727,,-616.4 ± nan,15.88,,15.9 ± nan,479.33,,479 ± nan
