config,mean_sec_mean,mean_sec_std,mean_sec_str,n_seeds,mean_power_mean,mean_power_std,mean_power_str,total_energy_wh_mean,total_energy_wh_std,total_energy_wh_str,qos_violation_rate_mean,qos_violation_rate_std,qos_violation_rate_str,type_switches_mean,type_switches_std,type_switches_str,total_reward_mean,total_reward_std,total_reward_str,energy_saved_vs_dpdk_pct_mean,energy_saved_vs_dpdk_pct_std,energy_saved_vs_dpdk_pct_str,train_time_s_mean,train_time_s_std,train_time_s_str
cd0,0.007686999999999999,0.00017337387346425657,0.0077 ± 0.0002,5,0.68784,0.006800220584657528,0.688 ± 0.007,123.98352,1.22619318706312,123.98 ± 1.23,0.0014,0.0,0.001 ± 0.000,14.0,1.4142135623730951,14 ± 1,-561.3132800000001,12.737723944920443,-561.3 ± 12.7,16.11,0.8305720919944276,16.1 ± 0.8,448.168,2.0750590353047897,448 ± 2
cd4,0.0108504,0.0019812289872702753,0.0109 ± 0.0020,5,0.7523799999999999,0.0420122244114734,0.752 ± 0.042,135.61128000000002,7.569805617187272,135.61 ± 7.57,0.00056,0.0007668115805072325,0.001 ± 0.001,10.0,4.69041575982343,10 ± 5,-787.34826,140.52292969822756,-787.3 ± 140.5,8.244,5.122590165141069,8.2 ± 5.1,448.55,1.5742140896332977,449 ± 2
cd8,0.008219,0.0001661625709959979,0.0082 ± 0.0002,5,0.73282,0.048575117086837795,0.733 ± 0.049,132.09084000000001,8.751369336452434,132.09 ± 8.75,0.0014,0.0,0.001 ± 0.000,16.2,4.604345773288536,16 ± 5,-600.79152,11.739965405272782,-600.8 ± 11.7,10.624,5.922957875926521,10.6 ± 5.9,455.434,6.790414567609254,455 ± 7
