observation,switch_dpdk_to_oai_mean,switch_dpdk_to_oai_std,switch_oai_to_dpdk_mean,switch_oai_to_dpdk_std,scale_up_mean,scale_up_std,scale_down_mean,scale_down_std,cooldown_blocked_mean,cooldown_blocked_std,avg_sec_mean,avg_sec_std,total_power_mean,total_power_std,violation_rate_mean,violation_rate_std,avg_qos_mean,avg_qos_std,n_runs
forecast,3.5,4.949747468305833,4.0,5.656854249492381,8.0,11.313708498984761,8.5,12.020815280171307,39.5,55.86143571373726,0.01050133556251063,0.004280990857168305,542.4839822351933,68.85219930442851,0.0006934812760055479,0.0009807306257788454,0.9636976346476895,0.013441591417610269,2
history,8.5,0.7071067811865476,9.0,1.4142135623730951,4.5,6.363961030678928,3.0,4.242640687119285,18.0,15.556349186104045,0.007514370436135542,0.00017891488493703493,495.9004619419575,10.00430702604086,0.0013869625520110957,0.0,0.9535832893666547,0.0023029806139514245,2
hybrid,7.5,0.7071067811865476,8.0,1.4142135623730951,6.0,1.4142135623730951,3.0,4.242640687119285,11.5,12.020815280171307,0.008711390540225902,0.0019254714009878215,506.34506741166115,32.78858776637847,0.0027739251040221915,0.0019614612515576908,0.9594682982493703,0.006793332042635099,2
instant,6.0,8.48528137423857,6.0,8.48528137423857,0.5,0.7071067811865476,1.5,2.1213203435596424,18.0,25.45584412271571,0.010451057678134998,0.004352094523139751,537.6459235846996,75.69424746351307,0.0006934812760055479,0.0009807306257788454,0.9640708785199259,0.01291374487142072,2
